timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:12:43.403995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06T16:12:44.410201,8.9,6.0,8.9,7.0,6.0,5.0,6.0,5.0
2025-06-06T16:12:45.419840,9.9,9.9,11.9,8.9,7.9,8.9,10.9,6.9
2025-06-06T16:12:46.426338,8.9,7.0,12.9,7.9,7.9,6.0,8.9,6.0
2025-06-06T16:12:47.431991,7.9,5.0,9.9,7.0,7.0,7.9,6.9,4.0
2025-06-06T16:12:48.434049,8.0,6.0,12.0,6.0,11.0,8.0,16.0,5.0
2025-06-06T16:12:49.435129,8.0,6.0,11.0,8.0,10.0,10.0,19.0,6.0
2025-06-06T16:12:50.435588,9.0,5.0,11.0,7.0,10.0,8.0,11.0,5.0
2025-06-06T16:12:51.436035,8.0,6.0,11.0,7.0,10.0,8.0,10.0,6.0
2025-06-06T16:12:52.436484,8.0,5.0,10.0,7.0,9.0,9.0,11.0,5.0
2025-06-06T16:12:53.437189,8.0,4.0,11.0,7.0,10.0,8.0,10.0,6.0
2025-06-06T16:12:54.439134,8.0,6.0,11.0,7.0,9.0,8.0,10.0,5.0
2025-06-06T16:12:55.440280,8.0,5.0,10.0,6.0,8.0,7.0,10.0,5.0
2025-06-06T16:12:56.440721,8.0,6.0,10.0,7.0,9.0,8.0,9.0,5.0
2025-06-06T16:12:57.441718,8.0,4.0,9.0,7.0,9.0,8.0,11.0,6.0
2025-06-06T16:12:58.444376,7.0,5.0,11.0,6.0,8.0,9.0,10.0,5.0
2025-06-06T16:12:59.445462,9.0,6.0,10.0,7.0,9.0,8.0,10.0,5.0
2025-06-06T16:13:00.446568,8.0,5.0,11.0,7.0,10.0,8.0,11.0,5.0
2025-06-06T16:13:01.447242,8.0,5.0,10.0,6.0,10.0,8.0,10.0,5.0
2025-06-06T16:13:02.447916,9.0,6.0,12.0,8.0,9.0,10.0,10.0,6.0
2025-06-06T16:13:03.448478,8.0,5.0,10.0,7.0,11.0,9.0,10.0,5.0
2025-06-06T16:13:04.449216,9.0,5.0,12.0,7.0,9.0,10.0,11.0,5.0
2025-06-06T16:13:05.449733,9.0,6.0,11.0,8.0,10.0,10.0,10.0,6.0
2025-06-06T16:13:06.450764,7.0,5.0,11.0,7.0,11.0,10.0,11.0,5.0
2025-06-06T16:13:07.452252,9.0,5.0,11.0,7.0,9.0,10.0,10.0,5.0
2025-06-06T16:13:08.455121,8.0,5.0,11.0,8.0,11.0,10.0,10.0,6.0
2025-06-06T16:13:09.455703,8.0,6.0,11.0,7.0,11.0,9.0,10.0,5.0
2025-06-06T16:13:10.456287,9.0,5.0,11.0,7.0,10.0,10.0,11.0,5.0
2025-06-06T16:13:11.457095,8.0,5.0,11.0,8.0,11.0,10.0,11.0,6.0
2025-06-06T16:13:12.459652,8.0,5.0,19.0,7.0,9.0,9.0,17.0,6.0
2025-06-06T16:13:13.460161,7.0,5.0,18.0,8.0,10.0,10.0,17.0,5.0
2025-06-06T16:13:14.460800,8.0,5.0,19.0,6.0,11.0,9.0,16.0,6.0
2025-06-06T16:13:15.461676,8.0,5.0,17.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:13:16.464749,8.0,5.0,17.9,7.0,9.0,9.0,15.9,6.0
2025-06-06T16:13:17.466510,7.0,5.0,19.0,7.0,11.0,10.0,17.0,5.0
2025-06-06T16:13:18.471154,8.0,6.0,18.9,7.0,9.9,9.0,17.9,6.0
2025-06-06T16:13:19.472537,7.0,5.0,18.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:13:20.473251,9.0,5.0,18.0,7.0,10.0,8.0,18.0,6.0
2025-06-06T16:13:21.475430,7.0,5.0,19.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:13:22.478016,8.0,5.0,17.0,7.0,9.0,9.0,17.0,6.0
2025-06-06T16:13:23.479355,8.0,6.0,18.0,7.0,10.0,9.0,17.0,6.0
