timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-10T16:02:08.962368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-10T16:02:09.962849,5.0,8.0,9.0,6.0,7.0,4.0,6.0,4.0
2025-06-10T16:02:10.966813,9.0,9.0,14.0,10.0,7.0,9.0,9.0,8.0
2025-06-10T16:02:11.971251,6.0,7.0,8.0,7.0,12.9,6.0,6.0,5.0
2025-06-10T16:02:12.977888,7.0,9.9,9.9,8.9,8.0,7.0,8.0,8.0
2025-06-10T16:02:13.985240,6.9,8.9,8.9,7.9,8.9,8.9,10.9,4.0
2025-06-10T16:02:14.985820,3.0,7.0,9.0,5.0,7.0,4.0,5.0,3.0
2025-06-10T16:02:15.987076,4.0,7.0,10.0,7.0,10.0,7.0,7.0,3.0
2025-06-10T16:02:16.987927,7.0,9.0,11.0,8.0,11.0,10.0,28.0,8.0
2025-06-10T16:02:17.989204,5.0,8.0,9.0,7.0,10.0,8.0,11.0,4.0
2025-06-10T16:02:18.989682,5.0,7.0,11.0,7.0,8.0,8.0,10.0,6.0
2025-06-10T16:02:19.991494,5.0,8.0,10.0,7.0,10.0,8.0,10.0,5.0
2025-06-10T16:02:20.993210,5.0,8.0,10.0,7.0,9.0,8.0,11.0,4.0
2025-06-10T16:02:21.993969,5.0,7.0,11.0,7.0,9.0,9.0,10.0,6.0
2025-06-10T16:02:22.994479,5.0,9.0,9.0,6.0,10.0,8.0,11.0,5.0
2025-06-10T16:02:23.995023,5.0,8.0,10.0,7.0,9.0,8.0,10.0,4.0
2025-06-10T16:02:24.995540,5.0,8.0,10.0,8.0,9.0,8.0,10.0,5.0
2025-06-10T16:02:25.997166,5.0,7.0,10.0,6.0,9.0,8.0,10.0,6.0
2025-06-10T16:02:26.997802,5.0,9.0,10.0,7.0,9.0,8.0,11.0,5.0
2025-06-10T16:02:27.999326,5.0,8.0,10.0,7.0,9.0,8.0,10.0,5.0
2025-06-10T16:02:28.999742,5.0,8.0,10.0,7.0,10.0,9.0,11.0,5.0
2025-06-10T16:02:30.000297,4.0,8.0,10.0,7.0,10.0,8.0,10.0,5.0
2025-06-10T16:02:31.001131,6.0,9.0,11.0,8.0,10.0,10.0,9.0,5.0
2025-06-10T16:02:32.001789,5.0,8.0,10.0,6.0,8.0,9.0,11.0,4.0
2025-06-10T16:02:33.002305,4.0,8.0,10.0,7.0,11.0,10.0,10.0,5.0
2025-06-10T16:02:34.003137,6.0,8.0,11.0,8.0,10.0,10.0,10.0,6.0
2025-06-10T16:02:35.003811,4.0,8.0,10.0,7.0,9.0,9.0,10.0,5.0
2025-06-10T16:02:36.004480,5.0,8.0,10.0,8.0,11.0,9.0,10.0,5.0
2025-06-10T16:02:37.006076,6.0,8.0,11.0,7.0,9.0,10.0,10.0,4.0
2025-06-10T16:02:38.007060,5.0,8.0,11.0,7.0,11.0,9.0,11.0,5.0
2025-06-10T16:02:39.008913,4.0,7.0,16.0,8.0,11.0,10.0,18.0,6.0
2025-06-10T16:02:40.011179,6.0,8.0,18.0,7.0,9.0,8.0,17.9,6.0
2025-06-10T16:02:41.014559,5.0,7.0,17.9,7.0,10.0,9.0,17.9,5.0
2025-06-10T16:02:42.017578,5.0,7.0,17.9,7.0,9.0,10.0,17.9,6.0
2025-06-10T16:02:43.020132,5.0,8.0,18.9,7.0,11.0,9.0,17.0,5.0
2025-06-10T16:02:44.021496,4.0,7.0,18.0,7.0,9.0,8.0,18.0,6.0
2025-06-10T16:02:45.022061,5.0,8.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-10T16:02:46.022778,5.0,7.0,18.0,7.0,10.0,9.0,18.0,5.0
2025-06-10T16:02:47.023235,5.0,8.0,19.0,7.0,9.0,9.0,18.0,6.0
2025-06-10T16:02:48.023735,5.0,8.0,18.0,7.0,12.0,9.0,17.0,5.0
2025-06-10T16:02:49.024406,5.0,7.0,18.0,7.0,9.0,9.0,18.0,5.0
2025-06-10T16:02:50.024851,4.0,8.0,19.0,6.0,9.0,9.0,17.0,6.0
2025-06-10T16:02:51.025317,5.0,7.0,19.0,8.0,11.0,9.0,18.0,6.0
2025-06-10T16:02:52.030719,5.0,8.0,16.9,7.0,9.0,10.0,16.9,5.0
2025-06-10T16:02:53.031572,5.0,7.0,19.0,6.0,10.0,8.0,17.0,5.0
2025-06-10T16:02:54.032680,4.0,7.0,19.0,7.0,10.0,9.0,19.0,6.0
2025-06-10T16:02:55.033120,6.0,9.0,18.0,7.0,10.0,9.0,18.0,5.0
2025-06-10T16:02:56.033632,4.0,8.0,19.0,7.0,10.0,10.0,17.9,6.0
2025-06-10T16:02:57.036530,5.0,8.0,17.9,7.0,11.0,9.0,17.0,5.0
2025-06-10T16:02:58.037987,5.0,7.0,19.0,8.0,9.0,9.0,17.0,6.0
2025-06-10T16:02:59.038483,5.0,9.0,18.0,7.0,11.0,8.0,18.0,6.0
2025-06-10T16:03:00.040393,5.0,6.0,18.0,7.0,9.0,10.0,18.0,5.0
2025-06-10T16:03:01.040823,5.0,8.0,19.0,7.0,9.0,9.0,17.0,6.0
2025-06-10T16:03:02.041526,4.0,9.0,18.0,7.0,11.0,9.0,17.0,5.0
2025-06-10T16:03:03.043815,5.0,7.0,18.0,7.0,10.0,9.0,18.0,6.0
2025-06-10T16:03:04.044778,5.0,8.0,18.0,6.0,9.0,9.0,18.0,5.0
2025-06-10T16:03:05.046711,5.0,7.0,18.0,7.0,9.0,8.0,16.0,6.0
2025-06-10T16:03:06.047281,5.0,7.0,18.0,8.0,10.0,10.0,18.0,5.0
2025-06-10T16:03:07.048066,5.0,8.0,18.0,6.0,10.0,9.0,18.0,5.0
2025-06-10T16:03:08.048576,5.0,8.0,18.0,7.0,10.0,9.0,17.0,6.0
2025-06-10T16:03:09.049604,4.0,7.0,18.0,7.0,9.0,9.0,17.0,6.0
2025-06-10T16:03:10.050703,5.0,9.0,19.0,7.0,10.0,9.0,17.0,5.0
2025-06-10T16:03:11.052003,5.0,7.0,17.0,6.0,10.0,9.0,18.0,6.0
2025-06-10T16:03:12.052705,5.0,8.0,18.0,7.0,9.0,8.0,17.0,4.0
2025-06-10T16:03:13.053522,4.0,6.0,18.0,7.0,9.0,8.0,17.0,6.0
2025-06-10T16:03:14.054015,5.0,7.0,17.0,5.0,8.0,8.0,18.0,5.0
2025-06-10T16:03:15.055485,4.0,7.0,17.0,6.0,8.0,8.0,18.0,5.0
2025-06-10T16:03:16.065995,4.9,4.9,16.8,5.9,6.9,5.9,16.8,5.0
2025-06-10T16:03:17.074474,4.0,5.9,16.9,4.0,6.9,6.9,16.8,5.0
2025-06-10T16:03:18.075750,4.0,7.0,18.0,7.0,10.0,9.0,18.0,5.0
2025-06-10T16:03:19.076291,6.0,9.0,18.0,8.0,10.0,9.0,17.0,6.0
