timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-11T15:38:29.925240,0.0,1079.8,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11T15:38:30.929804,5.0,8.0,8.0,7.0,6.0,8.0,6.0,5.0
2025-06-11T15:38:31.933888,9.0,11.0,12.0,10.0,11.0,11.0,11.9,7.0
2025-06-11T15:38:32.935685,7.0,9.0,14.0,7.0,7.0,6.0,9.9,5.0
2025-06-11T15:38:33.940515,5.0,7.0,10.0,7.0,7.0,7.0,7.0,6.0
2025-06-11T15:38:34.941496,5.0,8.0,10.0,7.0,9.0,6.0,7.0,4.0
2025-06-11T15:38:35.943106,6.0,8.0,10.0,7.0,10.0,7.0,6.0,5.0
2025-06-11T15:38:36.943861,6.0,9.0,11.0,8.0,12.0,11.0,29.0,7.0
2025-06-11T15:38:37.944403,5.0,8.0,11.0,6.0,9.0,8.0,10.0,5.0
2025-06-11T15:38:38.945386,5.0,8.0,10.0,8.0,9.0,9.0,11.0,6.0
2025-06-11T15:38:39.946972,6.0,8.0,10.0,7.0,10.0,8.0,11.0,6.0
2025-06-11T15:38:40.947826,5.0,8.0,11.0,7.0,10.0,8.0,10.0,5.0
2025-06-11T15:38:41.948526,6.0,8.0,10.0,7.0,9.0,9.0,11.0,5.0
2025-06-11T15:38:42.949330,5.0,9.0,10.0,7.0,10.0,9.0,10.0,6.0
2025-06-11T15:38:43.949970,5.0,9.0,11.0,8.0,9.0,8.0,11.0,5.0
2025-06-11T15:38:44.951579,6.0,7.0,10.0,7.0,10.0,9.0,11.0,5.0
2025-06-11T15:38:45.953060,5.0,9.0,10.0,7.0,10.0,8.0,10.0,6.0
2025-06-11T15:38:46.953794,6.0,9.0,11.0,8.0,9.0,9.0,11.0,6.0
2025-06-11T15:38:47.954687,5.0,9.0,11.0,8.0,10.0,10.0,10.0,5.0
2025-06-11T15:38:48.955520,5.0,8.0,11.0,7.0,11.0,10.0,12.0,5.0
2025-06-11T15:38:49.956171,6.0,9.0,11.0,8.0,11.0,10.0,9.0,5.0
2025-06-11T15:38:50.959025,5.0,8.0,10.0,7.0,10.0,11.0,11.0,5.0
2025-06-11T15:38:51.959541,6.0,9.0,11.0,8.0,11.0,10.0,11.0,6.0
2025-06-11T15:38:52.959998,5.0,9.0,11.0,8.0,9.0,9.0,10.0,5.0
2025-06-11T15:38:53.960415,5.0,8.0,11.0,8.0,11.0,10.0,11.0,5.0
2025-06-11T15:38:54.960902,5.0,8.0,11.0,7.0,10.0,10.0,11.0,6.0
2025-06-11T15:38:55.962252,5.0,9.0,11.0,8.0,11.0,10.0,10.0,6.0
2025-06-11T15:38:56.962904,6.0,8.0,11.0,7.0,11.0,10.0,10.0,5.0
2025-06-11T15:38:57.963532,5.0,8.0,12.0,8.0,10.0,9.0,18.0,5.0
2025-06-11T15:38:58.964082,6.0,7.0,11.0,8.0,10.0,10.0,19.0,6.0
2025-06-11T15:38:59.966316,5.0,9.0,11.0,8.0,11.0,11.0,17.0,6.0
2025-06-11T15:39:00.968617,5.0,8.0,12.0,6.0,10.0,9.0,19.0,6.0
2025-06-11T15:39:01.969223,5.0,7.0,11.0,8.0,11.0,10.0,17.0,5.0
2025-06-11T15:39:02.969898,5.0,9.0,11.0,7.0,10.0,9.0,17.0,6.0
2025-06-11T15:39:03.971144,6.0,8.0,12.0,8.0,10.0,9.0,19.0,6.0
2025-06-11T15:39:04.971927,4.0,7.0,11.0,8.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:05.972712,6.0,8.0,11.0,7.0,11.0,10.0,18.0,5.0
2025-06-11T15:39:06.973181,5.0,8.0,11.0,7.0,11.0,9.0,18.0,6.0
2025-06-11T15:39:07.973723,6.0,9.0,12.0,8.0,10.0,10.0,18.0,6.0
2025-06-11T15:39:08.974550,5.0,8.0,11.0,6.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:09.975111,5.0,7.0,11.0,8.0,11.0,9.0,19.0,6.0
2025-06-11T15:39:10.975565,5.0,9.0,12.0,7.0,10.0,10.0,18.0,5.0
2025-06-11T15:39:11.976315,6.0,8.0,11.0,8.0,11.0,10.0,17.0,6.0
2025-06-11T15:39:12.978884,4.0,8.0,11.0,7.0,10.0,9.0,18.0,6.0
2025-06-11T15:39:13.980267,6.0,8.0,11.0,8.0,10.0,10.0,18.0,5.0
2025-06-11T15:39:14.980839,5.0,9.0,12.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:15.982238,6.0,8.0,11.0,7.0,11.0,9.0,18.0,6.0
2025-06-11T15:39:16.982856,4.0,9.0,12.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:17.983354,6.0,7.0,11.0,8.0,10.0,9.0,18.0,5.0
2025-06-11T15:39:18.984241,5.0,8.0,11.0,8.0,11.0,10.0,18.0,6.0
2025-06-11T15:39:19.984766,6.0,8.0,11.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:20.985199,4.0,8.0,11.0,8.0,11.0,9.0,19.0,6.0
2025-06-11T15:39:21.985660,5.0,9.0,11.0,7.0,10.0,9.0,17.0,5.0
2025-06-11T15:39:22.986807,6.0,8.0,11.0,7.0,10.0,10.0,18.0,6.0
2025-06-11T15:39:23.987218,5.0,9.0,12.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:24.987661,5.0,7.0,12.0,7.0,10.0,9.0,18.0,6.0
2025-06-11T15:39:25.988089,6.0,8.0,11.0,8.0,11.0,9.0,18.0,6.0
2025-06-11T15:39:26.988548,5.0,9.0,11.0,8.0,11.0,10.0,17.0,5.0
2025-06-11T15:39:27.989309,5.0,8.0,12.0,7.0,10.0,10.0,18.0,5.0
2025-06-11T15:39:28.990298,5.0,8.0,11.0,7.0,10.0,9.0,18.0,6.0
2025-06-11T15:39:29.990855,6.0,8.0,11.0,7.0,11.0,9.0,18.0,6.0
2025-06-11T15:39:30.992931,4.0,8.0,11.0,8.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:31.993507,6.0,9.0,12.0,8.0,11.0,10.0,17.0,6.0
2025-06-11T15:39:32.993927,5.0,7.0,11.0,7.0,10.0,9.0,17.0,5.0
2025-06-11T15:39:33.994647,5.0,8.0,11.0,7.0,10.0,10.0,18.0,5.0
2025-06-11T15:39:34.995450,5.0,8.0,11.0,8.0,11.0,10.0,18.0,7.0
2025-06-11T15:39:35.996950,5.0,9.0,12.0,7.0,10.0,9.0,17.0,5.0
2025-06-11T15:39:36.997493,5.0,7.0,11.0,7.0,11.0,10.0,18.0,6.0
2025-06-11T15:39:37.998251,5.0,9.0,11.0,8.0,10.0,9.0,17.0,6.0
2025-06-11T15:39:38.999520,6.0,8.0,12.0,7.0,11.0,10.0,17.0,6.0
2025-06-11T15:39:40.000096,5.0,9.0,10.0,7.0,10.0,10.0,17.0,5.0
2025-06-11T15:39:41.002322,5.0,8.0,12.0,8.0,10.0,9.0,18.0,6.0
2025-06-11T15:39:42.003785,5.0,7.0,12.0,7.0,11.0,10.0,17.0,6.0
2025-06-11T15:39:43.004569,6.0,9.0,11.0,7.0,10.0,10.0,17.0,5.0
2025-06-11T15:39:44.005022,5.0,8.0,11.0,8.0,10.0,10.0,19.0,6.0
2025-06-11T15:39:45.005609,5.0,8.0,11.0,8.0,11.0,8.0,16.0,6.0
2025-06-11T15:39:46.007111,6.0,8.0,11.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:47.007626,5.0,9.0,12.0,7.0,11.0,10.0,18.0,6.0
2025-06-11T15:39:48.008577,5.0,8.0,11.0,7.0,10.0,9.0,17.0,6.0
2025-06-11T15:39:49.009490,5.0,8.0,11.0,7.0,10.0,10.0,17.0,5.0
2025-06-11T15:39:50.010039,5.0,8.0,11.0,8.0,11.0,10.0,19.0,6.0
2025-06-11T15:39:51.010975,6.0,8.0,12.0,8.0,10.0,9.0,16.0,6.0
2025-06-11T15:39:52.011469,4.0,9.0,11.0,7.0,10.0,9.0,17.0,5.0
2025-06-11T15:39:53.011888,6.0,8.0,11.0,8.0,10.0,11.0,18.0,6.0
2025-06-11T15:39:54.013438,5.0,8.0,11.0,7.0,10.0,9.0,17.0,5.0
2025-06-11T15:39:55.014005,5.0,8.0,12.0,7.0,11.0,9.0,17.0,6.0
2025-06-11T15:39:56.014470,5.0,9.0,11.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:39:57.015233,5.0,7.0,12.0,7.0,10.0,10.0,18.0,6.0
2025-06-11T15:39:58.015864,6.0,9.0,11.0,8.0,11.0,9.0,17.0,6.0
2025-06-11T15:39:59.016614,5.0,8.0,11.0,7.0,10.0,9.0,18.0,6.0
2025-06-11T15:40:00.018037,6.0,8.0,11.0,7.0,11.0,10.0,17.0,5.0
2025-06-11T15:40:01.020193,4.0,9.0,11.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:40:02.020845,6.0,7.0,12.0,9.0,10.0,9.0,18.0,5.0
2025-06-11T15:40:03.022093,5.0,10.0,11.0,6.0,11.0,9.0,16.0,6.0
2025-06-11T15:40:04.022647,5.0,7.0,11.0,9.0,10.0,10.0,19.0,6.0
2025-06-11T15:40:05.024002,5.0,9.0,11.0,7.0,11.0,9.0,17.0,5.0
2025-06-11T15:40:06.024941,5.0,8.0,12.0,6.0,10.0,10.0,16.0,6.0
2025-06-11T15:40:07.026294,6.0,7.0,11.0,8.0,11.0,9.0,18.0,6.0
2025-06-11T15:40:08.026954,5.0,9.0,11.0,7.0,10.0,10.0,16.0,6.0
2025-06-11T15:40:09.027505,5.0,8.0,11.0,7.0,10.0,10.0,17.0,5.0
2025-06-11T15:40:10.028010,5.0,9.0,11.0,8.0,10.0,9.0,17.0,6.0
2025-06-11T15:40:11.029298,5.0,8.0,11.0,7.0,11.0,10.0,18.0,6.0
2025-06-11T15:40:12.030882,5.0,7.0,11.0,8.0,10.0,9.0,17.0,6.0
2025-06-11T15:40:13.033111,5.0,9.0,12.0,7.0,10.0,10.0,17.0,6.0
2025-06-11T15:40:14.033951,6.0,8.0,12.0,8.0,10.0,9.0,17.0,6.0
2025-06-11T15:40:15.034873,5.0,9.0,10.0,6.0,10.0,10.0,18.0,4.0
2025-06-11T15:40:16.036157,5.0,9.0,12.0,7.0,11.0,9.0,17.0,7.0
