timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-11T14:28:06.556995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11T14:28:07.558246,7.0,15.0,10.9,6.0,5.0,6.9,5.9,5.0
2025-06-11T14:28:08.572150,8.9,8.9,12.9,6.9,8.0,6.0,11.9,6.0
2025-06-11T14:28:09.574609,10.0,9.0,10.0,9.0,8.0,9.0,8.0,7.9
2025-06-11T14:28:10.582877,7.9,8.9,10.9,7.9,9.9,7.9,11.0,8.0
2025-06-11T14:28:11.584088,9.0,9.0,10.0,9.0,9.0,7.0,14.0,7.0
2025-06-11T14:28:12.585770,7.0,9.0,11.0,9.0,7.0,7.0,7.0,6.0
2025-06-11T14:28:13.586546,5.0,9.0,10.0,7.0,10.0,7.0,6.0,3.0
2025-06-11T14:28:14.587111,5.0,6.0,9.0,4.0,4.0,4.0,6.0,2.0
2025-06-11T14:28:15.588566,3.0,9.0,8.0,6.0,5.0,4.0,6.0,3.0
2025-06-11T14:28:16.589100,4.0,6.0,9.0,6.0,5.0,5.0,6.0,3.0
2025-06-11T14:28:17.590621,3.0,7.0,9.0,6.0,7.0,5.0,6.0,2.0
2025-06-11T14:28:18.592052,5.0,7.0,9.0,6.0,9.0,6.0,7.0,4.0
2025-06-11T14:28:19.592972,7.0,9.0,11.0,9.0,12.0,11.0,28.0,7.0
2025-06-11T14:28:20.593585,6.0,9.0,10.0,7.0,9.0,8.0,11.0,6.0
2025-06-11T14:28:21.594493,5.0,8.0,11.0,7.0,11.0,9.0,11.0,5.0
2025-06-11T14:28:22.596482,7.0,9.0,11.0,9.0,9.0,9.0,11.0,7.0
2025-06-11T14:28:23.597152,5.0,8.0,10.0,7.0,10.0,9.0,11.0,5.0
2025-06-11T14:28:24.597929,6.0,8.0,11.0,7.0,10.0,8.0,11.0,5.0
2025-06-11T14:28:25.599268,6.0,10.0,10.0,7.0,10.0,9.0,11.0,7.0
2025-06-11T14:28:26.599952,5.0,8.0,10.0,8.0,9.0,9.0,11.0,5.0
2025-06-11T14:28:27.600404,6.0,9.0,10.0,7.0,10.0,8.0,11.0,6.0
2025-06-11T14:28:28.600991,6.0,9.0,11.0,8.0,10.0,10.0,11.0,6.0
2025-06-11T14:28:29.601538,5.0,8.0,12.0,8.0,11.0,10.0,11.0,6.0
2025-06-11T14:28:30.602373,6.0,10.0,10.0,8.0,10.0,10.0,11.0,5.0
2025-06-11T14:28:31.603601,6.0,8.0,11.0,8.0,10.0,10.0,11.0,6.0
2025-06-11T14:28:32.604328,6.0,9.0,11.0,7.0,11.0,10.0,11.0,5.0
2025-06-11T14:28:33.604880,6.0,9.0,11.0,9.0,10.0,9.0,11.0,6.0
2025-06-11T14:28:34.605541,6.0,9.0,10.0,8.0,12.0,11.0,11.0,6.0
2025-06-11T14:28:35.607167,5.0,9.0,12.0,7.0,10.0,10.0,11.0,5.0
2025-06-11T14:28:36.609070,6.0,9.0,11.0,8.0,10.0,10.0,12.0,6.0
2025-06-11T14:28:37.609777,6.0,7.0,10.0,8.0,11.0,10.0,10.0,6.0
2025-06-11T14:28:38.610735,6.0,9.0,11.0,8.0,11.0,10.0,11.0,5.0
2025-06-11T14:28:39.611704,5.0,8.0,11.0,8.0,10.0,9.0,11.0,6.0
2025-06-11T14:28:40.612701,6.0,9.0,11.0,7.9,9.9,9.9,11.9,6.0
2025-06-11T14:28:41.620258,5.0,7.9,11.9,8.0,11.0,10.0,20.0,6.0
2025-06-11T14:28:42.621871,6.0,9.0,11.0,7.0,11.0,10.0,19.0,6.0
2025-06-11T14:28:43.622966,6.0,8.0,12.0,8.0,10.0,9.0,19.9,7.0
2025-06-11T14:28:44.625367,6.0,8.0,11.0,8.0,11.0,11.0,19.0,6.0
2025-06-11T14:28:45.626735,4.0,8.0,11.0,7.0,10.0,8.0,17.0,6.0
2025-06-11T14:28:46.627546,7.0,9.0,11.0,8.0,11.0,11.0,19.0,7.0
2025-06-11T14:28:47.629612,5.0,8.0,12.0,8.0,10.0,9.0,19.0,6.0
2025-06-11T14:28:48.630807,5.0,8.0,11.0,8.0,11.0,9.0,18.0,5.0
