timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-19T17:01:00.764496,0.0,0.0,0.0,313.2,0.0,0.0,0.0,0.0
2025-06-19T17:01:01.768015,29.9,34.9,13.0,13.9,12.9,9.9,10.9,13.9
2025-06-19T17:01:02.775394,28.8,32.8,11.9,11.9,21.8,12.9,10.9,13.9
2025-06-19T17:01:03.781951,28.8,32.8,15.9,13.9,18.8,10.9,19.8,12.9
2025-06-19T17:01:04.789138,24.8,27.8,16.9,12.9,13.9,11.9,15.9,10.9
2025-06-19T17:01:05.796866,20.8,25.8,27.8,12.9,13.9,13.9,13.9,10.9
2025-06-19T17:01:06.804112,19.9,24.8,16.9,10.9,16.9,15.9,27.8,11.9
2025-06-19T17:01:07.811214,12.9,15.9,13.9,11.9,12.9,13.9,29.9,10.0
2025-06-19T17:01:08.814025,8.0,12.0,14.0,10.0,11.0,11.0,16.0,8.0
2025-06-19T17:01:09.816246,7.0,12.0,13.0,8.0,11.0,11.0,12.0,7.0
2025-06-19T17:01:10.818383,8.0,12.0,37.9,10.0,18.9,12.9,35.8,9.9
2025-06-19T17:01:11.824984,7.9,11.9,45.7,10.0,15.9,11.9,43.8,9.0
2025-06-19T17:01:12.837124,7.9,12.8,45.4,8.9,13.8,9.8,42.3,8.9
2025-06-19T17:01:13.849768,7.9,12.8,45.4,7.9,14.8,11.9,44.5,8.9
2025-06-19T17:01:14.856433,7.0,10.9,45.7,9.9,14.9,10.0,39.9,9.0
2025-06-19T17:01:15.862335,8.0,12.9,45.7,8.9,15.9,11.9,42.7,8.9
2025-06-19T17:01:16.866924,6.0,12.9,46.8,9.0,12.9,10.9,43.8,9.9
2025-06-19T17:01:17.872476,8.0,11.9,45.8,9.9,15.9,10.9,41.7,9.0
2025-06-19T17:01:18.877401,8.0,13.9,46.8,9.0,13.9,10.9,40.9,8.9
2025-06-19T17:01:19.886642,6.9,11.9,45.6,8.9,11.9,11.9,42.7,9.0
2025-06-19T17:01:20.891339,8.0,13.9,44.8,9.9,14.9,10.9,40.8,8.9
2025-06-19T17:01:21.894654,8.0,13.0,45.8,8.0,14.9,10.0,41.6,8.9
2025-06-19T17:01:22.908664,6.9,12.8,46.4,8.9,15.8,9.9,39.7,8.9
2025-06-19T17:01:23.911477,8.0,14.0,46.9,10.0,14.9,12.0,41.8,9.9
2025-06-19T17:01:24.918334,7.9,14.9,45.7,7.9,13.9,11.9,41.8,9.0
2025-06-19T17:01:25.923348,8.0,12.9,44.8,9.9,15.9,9.9,41.7,9.9
2025-06-19T17:01:26.928649,7.0,14.9,45.7,8.9,13.9,11.9,39.7,8.9
2025-06-19T17:01:27.941066,6.9,14.8,46.4,8.9,14.8,10.9,42.6,8.9
2025-06-19T17:01:28.947443,8.9,13.9,45.7,8.9,14.9,10.9,43.6,9.9
2025-06-19T17:01:29.956656,6.9,14.9,45.6,9.9,14.9,11.9,41.7,8.9
2025-06-19T17:01:30.962144,7.0,14.9,44.8,8.0,14.9,10.9,39.7,8.9
2025-06-19T17:01:31.968939,7.0,14.9,45.7,9.9,14.9,10.9,40.8,9.0
2025-06-19T17:01:32.978184,6.9,14.9,45.5,8.9,11.9,10.9,40.5,9.9
2025-06-19T17:01:33.987817,7.9,13.9,44.6,8.9,12.9,9.9,38.7,8.0
2025-06-19T17:01:34.992915,7.0,13.9,46.8,9.0,14.9,12.0,40.9,8.9
2025-06-19T17:01:35.999363,7.9,14.9,46.7,8.9,13.9,11.9,38.7,9.0
2025-06-19T17:01:37.003341,8.0,15.9,47.8,9.0,14.9,10.0,40.9,9.0
2025-06-19T17:01:38.012169,5.9,12.9,47.6,7.9,14.8,9.9,39.5,9.9
2025-06-19T17:01:39.021480,7.9,14.9,48.5,8.9,14.9,11.9,40.7,8.9
2025-06-19T17:01:40.028447,7.0,14.9,46.7,9.9,14.9,10.9,41.7,8.9
2025-06-19T17:01:41.034946,7.9,11.9,45.7,8.9,15.9,10.9,40.7,9.9
2025-06-19T17:01:42.042942,6.9,13.9,45.5,8.9,12.8,11.9,41.6,8.9
2025-06-19T17:01:43.052348,8.9,14.9,46.7,9.0,16.9,10.9,40.8,9.0
2025-06-19T17:01:44.058355,6.0,14.9,45.7,8.9,13.9,9.9,38.7,8.9
2025-06-19T17:01:45.063927,8.0,14.9,46.7,9.9,14.9,11.9,37.8,8.9
2025-06-19T17:01:46.069683,7.0,14.9,46.7,8.0,10.9,10.9,39.7,8.9
2025-06-19T17:01:47.078719,7.9,14.9,47.6,8.9,14.9,10.9,39.7,8.9
2025-06-19T17:01:48.084393,8.0,10.9,49.7,8.9,15.9,10.9,39.9,9.0
2025-06-19T17:01:49.091912,6.9,14.9,47.7,8.9,13.9,10.9,39.7,9.9
