timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-04T08:51:13.681956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-04T08:51:14.685354,6.0,9.0,11.0,8.0,5.0,4.0,12.0,3.0
2025-06-04T08:51:15.689337,12.0,13.9,10.0,5.0,6.0,6.0,10.0,7.0
2025-06-04T08:51:16.696326,33.8,35.7,10.9,13.9,10.9,18.8,16.8,14.8
2025-06-04T08:51:17.707090,30.7,31.7,37.6,10.9,6.9,9.9,13.9,11.9
2025-06-04T08:51:18.715086,25.8,31.7,13.9,13.9,8.9,8.9,10.9,9.9
2025-06-04T08:51:19.722132,31.8,30.8,11.9,6.9,7.9,7.9,12.9,10.9
2025-06-04T08:51:20.732954,32.7,31.7,12.9,13.9,20.8,12.9,29.8,9.9
2025-06-04T08:51:21.739942,26.8,29.8,10.9,11.9,10.9,10.9,9.9,10.9
2025-06-04T08:51:22.746343,27.8,30.8,15.9,9.9,13.9,12.9,16.9,10.9
2025-06-04T08:51:23.754262,29.8,30.8,11.9,11.9,11.9,10.9,12.9,8.9
2025-06-04T08:51:24.761314,24.8,25.8,12.9,13.9,17.8,12.9,19.8,9.9
2025-06-04T08:51:25.769036,12.9,16.9,13.9,10.9,12.9,18.9,14.9,11.0
2025-06-04T08:51:26.771330,6.0,7.0,7.0,3.0,4.0,5.0,5.0,3.0
2025-06-04T08:51:27.776804,4.0,8.0,8.0,6.0,5.0,5.0,7.0,2.0
2025-06-04T08:51:28.779882,5.0,7.0,6.0,4.0,4.0,4.0,10.0,2.0
2025-06-04T08:51:29.784144,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0
2025-06-04T08:51:30.787338,5.0,6.0,5.0,4.0,4.0,4.0,5.0,1.0
2025-06-04T08:51:31.792315,5.0,7.0,6.0,4.0,5.0,7.0,6.0,2.0
2025-06-04T08:51:32.794404,5.0,7.0,6.0,3.0,3.0,4.0,4.0,2.0
2025-06-04T08:51:33.797093,3.0,6.0,5.0,3.0,5.0,4.0,6.0,2.0
2025-06-04T08:51:34.799749,5.0,65.8,8.0,4.0,4.0,4.0,5.0,2.0
2025-06-04T08:51:35.804690,8.0,43.8,19.9,10.0,7.0,6.0,8.0,5.0
2025-06-04T08:51:36.808144,7.0,11.9,16.9,9.9,18.9,9.9,7.0,2.0
2025-06-04T08:51:37.817641,13.9,17.9,16.9,14.9,21.8,16.9,19.9,13.9
