timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-15T15:59:24.945820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-15T15:59:25.949690,12.9,13.9,15.9,13.9,19.8,15.9,15.8,8.9
2025-06-15T15:59:26.961535,12.8,13.8,39.6,9.9,9.9,9.9,14.9,8.9
2025-06-15T15:59:27.968369,7.9,9.9,29.8,7.0,7.0,7.0,9.0,6.0
2025-06-15T15:59:28.972226,9.0,11.0,17.9,8.0,12.9,12.9,12.0,8.0
2025-06-15T15:59:29.975548,11.0,13.0,21.9,14.9,9.0,8.0,9.0,9.9
2025-06-15T15:59:30.982658,11.9,14.9,12.9,14.9,14.9,9.9,22.9,10.0
2025-06-15T15:59:31.986212,9.0,12.0,10.0,8.0,22.9,9.0,10.0,6.0
2025-06-15T15:59:32.992652,8.9,8.9,9.9,7.9,6.9,9.9,10.9,7.0
2025-06-15T15:59:33.999470,6.0,10.9,7.0,5.0,6.0,10.0,7.0,4.0
2025-06-15T15:59:35.003100,5.0,7.0,8.0,6.0,5.0,5.0,6.0,3.0
2025-06-15T15:59:36.009349,8.9,11.9,7.0,6.0,6.0,7.0,8.0,7.0
2025-06-15T15:59:37.012708,7.0,8.0,9.0,7.0,7.0,6.9,7.9,6.9
2025-06-15T15:59:38.023509,5.9,9.9,7.9,5.9,5.9,5.0,10.9,9.0
2025-06-15T15:59:39.029131,26.9,28.8,9.0,9.0,9.0,10.9,7.0,14.9
2025-06-15T15:59:40.035921,30.8,29.8,11.9,13.9,9.9,20.8,11.9,12.9
2025-06-15T15:59:41.045757,26.7,25.7,13.9,13.8,9.9,12.9,10.9,8.9
2025-06-15T15:59:42.051780,10.9,12.9,8.9,11.9,8.0,9.0,7.0,13.9
2025-06-15T15:59:43.056763,10.0,12.9,11.9,14.9,8.9,8.9,12.9,10.9
2025-06-15T15:59:44.063017,12.9,13.9,10.9,10.9,8.9,10.9,8.9,10.9
2025-06-15T15:59:45.073056,21.8,23.8,14.9,10.9,9.9,10.9,10.9,9.9
2025-06-15T15:59:46.081815,26.8,27.8,10.9,13.9,9.9,9.9,10.9,12.9
2025-06-15T15:59:47.091169,18.8,12.9,7.9,8.9,5.9,6.9,8.9,10.9
2025-06-15T15:59:48.099787,28.8,27.8,12.9,16.9,11.9,11.9,12.9,12.9
2025-06-15T15:59:49.107424,14.9,13.9,8.9,12.9,8.9,8.9,10.9,11.9
2025-06-15T15:59:50.111163,17.9,19.9,11.0,9.0,9.0,10.0,7.0,13.9
2025-06-15T15:59:51.117623,26.8,28.8,14.9,14.9,9.9,16.9,13.9,13.0
2025-06-15T15:59:52.128954,26.7,27.7,15.8,13.8,11.9,11.9,11.9,10.9
2025-06-15T15:59:53.136000,13.9,12.9,6.9,11.9,8.9,5.9,5.9,13.8
2025-06-15T15:59:54.145679,19.8,26.7,10.9,12.9,9.9,12.9,13.9,12.9
2025-06-15T15:59:55.153321,25.8,25.8,12.9,13.9,14.9,12.9,13.9,10.9
2025-06-15T15:59:56.159844,20.9,18.9,7.9,11.9,15.9,12.9,13.9,11.9
2025-06-15T15:59:57.170317,16.8,19.8,16.8,11.9,11.9,8.9,12.9,12.9
2025-06-15T15:59:58.177779,20.8,19.8,18.8,12.8,16.8,10.9,11.8,11.8
2025-06-15T15:59:59.193530,6.9,7.9,5.9,4.9,4.0,5.0,5.0,4.0
2025-06-15T16:00:00.197940,6.0,6.0,6.0,3.0,4.0,3.0,4.0,3.0
2025-06-15T16:00:01.203339,8.0,8.0,6.0,6.0,10.0,5.0,8.0,5.0
2025-06-15T16:00:02.206122,5.0,6.0,5.0,3.0,4.0,3.0,3.0,2.0
2025-06-15T16:00:03.208161,5.0,6.0,5.0,3.0,3.0,2.0,3.0,3.0
2025-06-15T16:00:04.210804,5.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0
2025-06-15T16:00:05.214464,5.0,7.0,6.0,5.0,4.0,3.0,4.0,2.0
2025-06-15T16:00:06.217283,6.0,7.0,7.0,5.0,5.0,5.0,6.0,3.0
2025-06-15T16:00:07.220527,9.0,11.0,9.9,6.0,7.9,10.9,8.9,4.9
2025-06-15T16:00:08.235134,10.8,12.8,12.8,8.9,19.8,17.8,18.8,9.9
2025-06-15T16:00:09.240904,10.9,11.9,15.9,8.0,12.9,11.0,14.0,8.0
2025-06-15T16:00:10.244085,8.0,10.0,7.0,7.0,11.0,16.0,14.0,6.0
2025-06-15T16:00:11.246380,9.0,9.0,9.0,6.0,13.0,9.0,5.0,5.0
2025-06-15T16:00:12.250479,10.0,12.9,10.0,9.0,19.9,9.0,12.0,7.0
2025-06-15T16:00:13.253168,8.0,10.0,10.0,7.0,15.0,9.0,8.0,5.0
2025-06-15T16:00:14.260187,7.9,9.9,8.9,6.0,6.9,6.0,6.9,7.9
2025-06-15T16:00:15.263906,8.0,9.0,22.9,8.0,8.0,9.0,10.0,8.0
2025-06-15T16:00:16.267985,9.0,10.9,11.9,8.9,15.9,8.9,11.9,6.0
2025-06-15T16:00:17.274704,9.9,12.9,9.9,10.0,17.9,15.9,9.0,8.0
2025-06-15T16:00:18.278000,6.0,87.7,11.0,7.0,6.0,7.0,9.0,4.0
2025-06-15T16:00:19.282175,9.0,52.8,15.9,11.9,7.0,5.0,5.0,5.0
2025-06-15T16:00:20.289122,10.9,18.9,17.9,12.9,22.8,11.9,9.9,10.9
2025-06-15T16:00:21.300282,17.8,21.8,19.8,15.8,24.8,17.8,16.8,13.9
2025-06-15T16:00:22.309334,17.8,21.8,14.9,13.9,26.8,16.8,19.8,12.9
2025-06-15T16:00:23.317072,19.8,20.8,18.9,16.9,20.8,14.9,35.8,13.9
2025-06-15T16:00:24.322621,16.9,21.8,18.8,17.8,15.8,15.8,42.4,12.8
2025-06-15T16:00:25.337489,17.7,20.7,21.7,14.9,16.8,14.9,46.7,11.9
2025-06-15T16:00:26.342993,18.9,21.9,17.9,14.9,15.9,16.9,35.8,13.9
2025-06-15T16:00:27.349549,19.9,22.8,17.9,13.9,17.8,14.9,32.7,12.9
2025-06-15T16:00:28.359882,17.8,23.7,24.7,13.8,21.7,15.8,30.5,14.8
2025-06-15T16:00:29.376344,19.7,25.6,20.7,13.8,20.7,13.8,30.7,13.9
2025-06-15T16:00:30.383704,15.9,22.8,23.8,15.9,17.9,14.9,46.7,13.9
2025-06-15T16:00:31.390263,20.9,22.8,21.8,14.9,27.8,16.9,29.8,12.9
2025-06-15T16:00:32.399314,19.8,25.8,21.8,13.9,20.8,17.8,28.7,13.9
2025-06-15T16:00:33.407914,18.8,23.8,20.8,15.9,20.8,22.8,34.7,12.9
2025-06-15T16:00:34.416844,18.8,21.8,22.8,13.9,18.8,14.8,42.5,11.9
2025-06-15T16:00:35.429784,23.7,26.7,18.8,13.8,13.8,11.8,22.7,10.9
2025-06-15T16:00:36.439647,15.8,18.8,24.7,17.8,20.8,16.8,43.6,13.9
2025-06-15T16:00:37.447513,13.9,17.9,25.8,14.9,23.9,17.9,51.7,14.9
2025-06-15T16:00:38.454074,12.9,17.9,24.8,14.9,22.9,17.9,53.7,16.9
2025-06-15T16:00:39.460449,14.9,18.9,26.8,14.9,24.8,16.9,52.6,13.9
2025-06-15T16:00:40.475253,16.8,21.7,23.7,12.8,20.7,16.8,34.5,13.8
2025-06-15T16:00:41.481212,13.9,20.9,23.8,15.9,26.8,16.8,47.6,13.9
2025-06-15T16:00:42.488973,14.9,18.9,24.8,13.9,17.9,15.9,50.7,14.9
2025-06-15T16:00:43.496209,14.9,18.8,25.7,13.8,21.7,17.8,45.3,14.8
2025-06-15T16:00:44.511362,18.7,26.6,19.8,12.9,22.7,13.9,29.7,12.8
2025-06-15T16:00:45.527475,21.6,23.6,21.6,12.8,25.6,15.7,29.5,11.8
2025-06-15T16:00:46.546708,19.6,26.5,20.6,15.7,20.5,12.7,31.3,12.7
2025-06-15T16:00:47.563790,18.7,24.5,23.5,17.6,25.3,20.4,33.9,15.4
2025-06-15T16:00:48.604201,17.3,21.2,22.3,12.7,32.2,14.7,34.4,16.8
2025-06-15T16:00:49.616972,14.8,22.7,21.6,13.7,33.4,14.7,35.3,12.7
2025-06-15T16:00:50.643495,20.5,29.3,22.5,12.7,20.5,13.7,32.2,12.7
2025-06-15T16:00:51.667006,21.5,27.4,21.5,12.8,18.6,24.5,24.6,12.8
2025-06-15T16:00:52.679264,20.7,22.7,23.7,13.8,33.7,22.8,34.7,13.9
2025-06-15T16:00:53.687856,19.8,22.8,20.8,17.8,35.7,15.9,39.7,14.9
2025-06-15T16:00:54.694942,19.9,30.8,21.8,12.9,22.8,16.8,36.7,14.8
2025-06-15T16:00:55.705055,19.8,23.8,26.7,13.9,31.7,13.9,27.8,11.9
2025-06-15T16:00:56.712413,17.9,24.8,24.8,10.9,30.7,14.9,37.7,12.9
2025-06-15T16:00:57.720594,16.9,19.8,22.8,14.9,32.8,14.9,37.7,14.9
2025-06-15T16:00:58.728306,15.9,25.8,22.8,11.9,28.8,13.9,31.7,13.9
2025-06-15T16:00:59.736265,15.9,23.8,20.8,13.9,32.7,15.9,36.7,14.9
2025-06-15T16:01:00.742352,17.9,23.9,23.9,13.9,34.8,14.9,35.8,10.9
2025-06-15T16:01:01.756016,14.8,24.7,24.7,12.8,39.5,16.8,39.5,12.8
2025-06-15T16:01:02.763248,16.9,22.8,19.8,12.9,31.7,13.9,30.7,12.9
2025-06-15T16:01:03.773447,19.8,28.7,20.8,13.9,20.8,15.8,23.7,11.9
2025-06-15T16:01:04.783584,18.8,28.7,20.8,12.9,33.7,14.9,25.8,12.9
2025-06-15T16:01:05.790696,16.9,28.8,24.8,14.9,17.9,15.9,36.7,14.9
2025-06-15T16:01:06.804037,14.8,18.7,24.7,14.8,23.7,17.7,47.4,14.8
2025-06-15T16:01:07.811982,19.8,26.8,20.8,14.9,24.8,13.9,31.7,10.9
2025-06-15T16:01:08.821191,19.8,28.8,21.8,11.9,22.8,13.9,24.9,12.9
2025-06-15T16:01:09.826443,15.9,20.9,21.9,13.9,28.9,14.9,37.8,11.9
2025-06-15T16:01:10.834925,19.8,27.8,21.8,11.9,21.8,14.9,28.8,12.9
2025-06-15T16:01:11.845386,16.8,23.7,21.8,13.8,26.7,20.6,33.4,13.7
2025-06-15T16:01:12.859340,16.8,24.6,23.6,13.8,31.4,21.7,22.7,11.9
2025-06-15T16:01:13.871121,15.8,20.8,27.7,13.8,35.4,22.7,35.5,13.8
2025-06-15T16:01:14.884509,15.8,23.7,21.8,13.9,30.8,17.9,36.8,12.9
2025-06-15T16:01:15.890295,16.9,23.9,23.9,11.9,28.8,19.9,38.7,11.9
2025-06-15T16:01:16.904280,14.8,22.7,21.7,13.8,32.6,15.8,36.5,12.8
2025-06-15T16:01:17.910909,19.9,28.8,19.9,11.9,20.9,12.9,30.9,12.9
2025-06-15T16:01:18.918097,21.8,32.7,24.8,12.9,14.9,14.9,23.8,12.9
2025-06-15T16:01:19.925362,18.9,27.8,25.8,14.9,26.8,20.8,39.7,13.9
2025-06-15T16:01:20.935041,20.8,26.7,21.8,13.9,25.8,15.8,30.7,13.9
2025-06-15T16:01:21.943166,17.9,23.8,22.8,13.9,38.7,14.9,37.6,11.9
2025-06-15T16:01:22.954139,14.8,20.8,21.8,13.9,33.6,15.9,38.8,14.9
2025-06-15T16:01:23.960625,17.9,27.8,22.8,12.9,32.7,16.8,33.7,12.9
2025-06-15T16:01:24.970961,20.8,25.7,20.8,12.9,27.8,17.9,25.8,11.9
2025-06-15T16:01:25.979015,18.8,28.8,27.8,14.9,26.7,15.8,35.6,13.9
2025-06-15T16:01:26.988077,17.8,21.8,20.8,14.9,29.8,14.9,39.6,14.9
2025-06-15T16:01:27.999402,18.8,29.7,23.7,12.8,31.6,14.8,27.7,12.9
2025-06-15T16:01:29.007919,19.8,26.8,19.8,11.9,31.8,13.9,23.8,11.9
2025-06-15T16:01:30.018270,16.8,24.7,21.8,15.8,27.7,15.8,31.7,10.9
2025-06-15T16:01:31.027020,16.9,21.8,26.8,12.9,34.7,19.8,28.8,12.9
2025-06-15T16:01:32.035173,13.9,21.8,25.8,13.8,50.5,15.9,36.7,11.9
2025-06-15T16:01:33.050710,15.8,23.6,23.6,11.8,37.4,14.7,34.4,12.8
2025-06-15T16:01:34.061307,12.9,25.8,22.8,13.9,37.8,14.9,44.6,10.9
2025-06-15T16:01:35.070033,15.9,23.8,22.8,12.9,35.5,14.8,32.6,11.9
2025-06-15T16:01:36.081839,15.8,24.7,21.7,16.8,42.5,14.8,28.6,12.8
2025-06-15T16:01:37.092208,15.8,22.8,23.8,13.9,33.7,14.9,37.7,11.9
2025-06-15T16:01:38.104484,15.8,22.7,23.7,12.8,35.5,15.8,43.5,12.8
2025-06-15T16:01:39.112554,16.9,22.8,23.8,13.9,31.7,15.9,38.7,12.9
2025-06-15T16:01:40.121439,16.9,24.8,23.8,11.9,35.7,14.9,41.6,12.9
2025-06-15T16:01:41.131394,16.8,23.8,22.8,13.9,31.7,14.9,32.7,11.9
2025-06-15T16:01:42.138320,19.9,25.8,19.9,11.9,28.8,13.9,28.8,11.9
2025-06-15T16:01:43.147618,13.9,22.8,23.8,13.8,33.6,16.8,43.5,11.9
2025-06-15T16:01:44.155929,13.9,23.8,21.8,11.9,34.8,14.9,46.7,11.9
2025-06-15T16:01:45.163077,14.9,21.8,22.8,12.9,38.8,16.9,42.7,13.9
2025-06-15T16:01:46.171793,13.9,18.8,24.8,12.9,53.5,14.9,36.7,11.9
2025-06-15T16:01:47.178320,13.9,22.8,23.8,11.9,49.6,14.9,36.7,11.9
2025-06-15T16:01:48.192659,12.8,21.7,22.7,14.8,59.2,16.8,40.5,12.9
2025-06-15T16:01:49.199045,12.9,20.8,22.8,11.9,43.6,16.9,42.7,11.9
2025-06-15T16:01:50.206224,13.9,25.8,22.9,13.9,40.7,15.9,45.7,11.9
2025-06-15T16:01:51.213494,13.9,21.8,26.8,12.9,58.5,15.9,39.6,12.8
2025-06-15T16:01:52.225246,14.8,18.8,22.7,14.8,53.5,15.8,49.6,15.9
2025-06-15T16:01:53.238871,14.8,19.7,22.7,12.8,40.5,17.7,47.3,12.8
2025-06-15T16:01:54.250114,14.8,22.7,29.6,14.7,32.2,14.7,43.0,13.7
2025-06-15T16:01:55.271052,14.7,21.6,24.4,13.7,52.2,15.8,44.4,12.8
2025-06-15T16:01:56.283152,12.9,21.8,24.8,13.9,49.6,16.8,44.5,12.8
2025-06-15T16:01:57.295412,16.8,28.7,23.7,12.9,38.5,14.8,38.5,13.8
2025-06-15T16:01:58.313953,17.7,21.6,22.6,12.7,36.3,14.8,43.3,11.8
2025-06-15T16:01:59.326266,12.8,22.7,23.8,12.9,37.5,14.7,43.2,11.7
2025-06-15T16:02:00.345390,13.7,22.5,24.3,13.6,40.9,14.6,42.8,11.7
2025-06-15T16:02:01.372158,13.7,22.5,22.5,13.8,37.2,15.6,46.0,11.7
2025-06-15T16:02:02.396302,13.7,22.5,23.5,13.7,39.4,16.8,44.4,13.9
2025-06-15T16:02:03.412860,14.7,23.6,23.4,12.7,37.0,15.6,42.8,12.6
2025-06-15T16:02:04.437841,12.7,21.5,24.4,13.7,38.0,15.6,44.9,11.7
2025-06-15T16:02:05.463375,13.7,21.5,23.4,12.7,38.2,15.7,45.9,12.7
2025-06-15T16:02:06.485354,14.7,21.5,24.4,13.7,38.2,15.7,42.3,12.8
2025-06-15T16:02:07.504854,14.7,24.6,21.6,12.7,36.3,15.7,46.1,12.8
2025-06-15T16:02:08.526509,12.7,20.6,23.5,13.7,45.0,15.6,41.0,12.7
2025-06-15T16:02:09.541484,12.8,21.7,24.7,14.8,17.8,16.8,47.4,13.8
2025-06-15T16:02:10.557869,12.8,20.7,24.6,13.8,26.6,17.8,47.4,12.8
2025-06-15T16:02:11.570926,11.8,21.7,24.6,12.8,43.2,15.7,45.0,13.7
2025-06-15T16:02:12.593852,12.7,22.5,26.5,12.7,38.3,15.7,42.4,11.8
2025-06-15T16:02:13.608660,12.8,22.6,24.6,11.8,40.3,15.7,47.9,11.7
2025-06-15T16:02:14.630687,13.7,24.5,23.6,13.8,37.3,15.7,43.2,11.8
2025-06-15T16:02:15.649422,11.8,25.5,24.5,14.7,21.6,16.8,46.4,13.9
2025-06-15T16:02:16.659400,13.9,21.7,24.6,13.7,24.5,17.6,46.9,13.7
2025-06-15T16:02:17.681857,13.7,17.6,23.5,12.8,43.2,15.7,42.3,12.8
2025-06-15T16:02:18.697278,12.8,26.7,25.7,13.9,39.7,15.9,40.7,12.9
2025-06-15T16:02:19.708084,13.8,21.7,24.6,13.8,28.6,17.7,48.3,12.8
2025-06-15T16:02:20.720261,13.8,20.8,25.8,14.9,38.7,15.9,46.7,13.9
