timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-15T16:51:30.495622,0.0,0.0,0.0,191.8,0.0,0.0,0.0,0.0
2025-06-15T16:51:31.500457,12.9,12.9,24.9,8.0,8.0,8.0,8.0,7.0
2025-06-15T16:51:32.503337,12.0,17.9,22.9,7.0,7.0,7.0,13.0,10.0
2025-06-15T16:51:33.506125,11.0,13.0,17.9,5.0,14.9,13.9,8.0,5.0
2025-06-15T16:51:34.509656,13.0,13.9,19.9,9.0,28.9,8.0,10.0,7.0
2025-06-15T16:51:35.512686,12.0,14.9,18.9,8.0,18.9,8.9,13.9,10.9
2025-06-15T16:51:36.520067,11.9,16.9,20.9,8.0,17.9,11.0,22.9,9.0
2025-06-15T16:51:37.522651,20.9,26.9,18.9,12.0,14.0,13.0,15.0,10.0
2025-06-15T16:51:38.533782,19.8,24.7,10.9,9.9,9.9,13.8,8.9,10.8
2025-06-15T16:51:39.544235,25.7,29.7,14.8,5.9,20.8,12.9,7.9,10.0
2025-06-15T16:51:40.549784,27.8,23.9,20.8,7.9,10.9,8.9,10.8,12.8
2025-06-15T16:51:41.564323,25.6,25.6,11.9,11.9,4.9,9.0,19.7,7.9
2025-06-15T16:51:42.581038,24.6,31.5,15.7,8.9,15.7,7.9,9.0,10.0
2025-06-15T16:51:43.590879,22.8,23.8,19.8,6.9,6.9,8.9,8.9,11.8
2025-06-15T16:51:44.603415,18.8,20.7,8.9,9.9,8.9,9.8,12.7,10.8
2025-06-15T16:51:45.617329,23.7,26.6,11.8,9.9,7.9,10.9,10.9,13.9
2025-06-15T16:51:46.623750,15.9,19.9,9.9,8.9,12.9,8.9,9.9,10.9
2025-06-15T16:51:47.631307,18.9,18.9,12.9,9.9,11.9,16.9,14.9,10.9
2025-06-15T16:51:48.640785,17.8,18.8,19.8,14.9,21.8,20.8,14.9,9.9
2025-06-15T16:51:49.648616,13.9,15.9,10.9,11.9,15.9,11.9,11.9,9.9
2025-06-15T16:51:50.654562,8.9,9.9,13.9,8.0,9.9,9.9,10.0,5.0
