timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T16:10:57.916514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T16:10:58.923501,7.0,6.0,5.0,7.0,9.9,7.0,5.0,5.0
2025-06-18T16:10:59.930958,8.9,11.9,8.9,10.9,11.9,9.9,9.9,7.9
2025-06-18T16:11:00.931770,9.0,8.0,8.0,8.0,10.0,8.0,7.0,7.0
2025-06-18T16:11:01.932701,8.0,7.0,7.0,8.0,10.0,10.0,4.0,6.0
2025-06-18T16:11:02.934418,7.0,9.0,6.0,7.0,12.0,7.0,10.0,5.0
2025-06-18T16:11:03.935277,6.0,6.0,3.0,7.0,9.0,7.0,4.0,2.0
2025-06-18T16:11:04.936470,6.0,7.0,4.0,7.0,9.0,9.0,7.0,4.0
2025-06-18T16:11:05.937077,9.0,28.0,7.0,9.0,13.0,13.0,11.0,7.0
2025-06-18T16:11:06.937509,6.0,10.0,6.0,8.0,9.0,9.0,9.0,5.0
2025-06-18T16:11:07.939473,8.0,10.0,5.0,8.0,11.0,10.0,10.0,6.0
2025-06-18T16:11:08.940500,8.0,10.0,5.0,8.0,11.0,11.0,10.0,5.0
2025-06-18T16:11:09.941145,8.0,11.0,5.0,9.0,11.0,10.0,10.0,6.0
2025-06-18T16:11:10.941725,7.0,11.0,6.0,7.0,11.0,11.0,10.0,4.0
2025-06-18T16:11:11.942915,9.0,11.0,6.0,9.0,11.0,10.0,9.0,6.0
2025-06-18T16:11:12.943563,7.0,10.0,4.0,9.0,10.0,10.0,11.0,6.0
2025-06-18T16:11:13.944436,7.0,11.0,6.0,8.0,11.0,11.0,9.0,5.0
2025-06-18T16:11:14.945623,9.0,10.0,5.0,8.0,11.0,11.0,10.0,5.0
2025-06-18T16:11:15.947149,7.0,10.0,6.0,8.0,11.0,9.0,10.0,5.0
2025-06-18T16:11:16.947790,7.0,11.0,5.0,10.0,10.0,10.0,9.0,6.0
2025-06-18T16:11:17.948346,9.0,10.0,5.0,8.0,11.0,11.0,10.0,5.0
2025-06-18T16:11:18.949674,7.0,10.0,6.0,8.0,11.0,10.0,10.0,6.0
2025-06-18T16:11:19.951614,7.0,11.0,5.0,10.0,10.0,10.0,9.0,5.0
2025-06-18T16:11:20.952331,7.0,10.0,5.0,7.0,12.0,11.0,10.0,6.0
2025-06-18T16:11:21.953974,8.0,10.0,5.0,9.0,10.0,10.0,10.0,4.0
2025-06-18T16:11:22.954480,8.0,11.0,6.0,9.0,11.0,11.0,10.0,6.0
2025-06-18T16:11:23.954986,7.0,11.0,5.0,8.0,11.0,10.0,10.0,5.0
2025-06-18T16:11:24.955523,8.0,10.0,5.0,9.0,10.0,10.0,9.0,6.0
2025-06-18T16:11:25.956096,8.0,11.0,6.0,7.0,12.0,11.0,10.0,5.0
