timestamp,smoother_server,map_server,amcl,controller_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-18T02:04:46.891721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T02:04:47.893424,6.0,7.0,9.0,7.0,6.0,5.0,8.0,4.0
2025-06-18T02:04:48.906765,6.9,7.9,11.9,9.9,15.8,5.9,11.9,5.9
2025-06-18T02:04:49.911019,11.9,6.9,7.9,11.8,9.8,10.7,8.8,8.8
2025-06-18T02:04:50.931510,6.9,7.9,7.9,10.9,7.9,8.0,9.0,7.0
2025-06-18T02:04:51.933293,7.0,4.0,6.0,10.0,6.0,5.0,6.0,2.0
2025-06-18T02:04:52.934941,5.0,4.0,7.0,9.0,7.0,5.0,7.0,2.0
2025-06-18T02:04:53.936110,8.0,6.0,9.0,10.0,11.0,9.0,22.0,7.0
2025-06-18T02:04:54.937019,7.0,7.0,8.0,11.0,11.0,10.0,15.0,6.0
2025-06-18T02:04:55.938273,8.0,5.0,9.0,10.0,10.0,8.0,10.0,5.0
2025-06-18T02:04:56.938835,7.0,5.0,7.0,11.0,9.0,9.0,10.0,5.0
2025-06-18T02:04:57.939567,8.0,5.0,8.0,10.0,10.0,9.0,11.0,6.0
2025-06-18T02:04:58.940172,7.0,5.0,8.0,11.0,10.0,10.0,9.0,4.0
2025-06-18T02:04:59.940914,7.0,5.0,7.0,11.0,10.0,10.0,11.0,5.0
2025-06-18T02:05:00.942798,8.0,6.0,10.0,10.0,10.0,9.0,10.0,6.0
2025-06-18T02:05:01.943385,8.0,4.0,8.0,10.0,10.0,10.0,10.0,5.0
2025-06-18T02:05:02.944697,7.0,6.0,8.0,10.0,10.0,9.0,11.0,5.0
2025-06-18T02:05:03.945391,7.0,5.0,8.0,12.0,10.0,10.0,10.0,5.0
2025-06-18T02:05:04.945915,8.0,5.0,8.0,10.0,10.0,9.0,11.0,5.0
2025-06-18T02:05:05.947638,7.0,5.0,8.0,11.0,10.0,9.0,10.0,5.0
2025-06-18T02:05:06.950672,8.0,6.0,9.0,10.0,10.0,11.0,11.0,6.0
2025-06-18T02:05:07.951960,7.0,5.0,9.0,11.0,10.0,9.0,9.0,4.0
2025-06-18T02:05:08.953038,7.0,5.0,8.0,10.0,10.0,9.0,11.0,5.0
2025-06-18T02:05:09.953586,9.0,6.0,9.0,10.0,10.0,10.0,11.0,6.0
2025-06-18T02:05:10.955892,7.0,5.0,8.0,11.0,10.0,9.0,9.0,5.0
2025-06-18T02:05:11.956538,7.0,4.0,8.0,10.0,10.0,10.0,10.0,5.0
2025-06-18T02:05:12.957665,7.0,6.0,9.0,11.0,10.0,10.0,11.0,5.0
2025-06-18T02:05:13.958234,7.0,5.0,8.0,11.0,10.0,9.0,9.0,5.0
2025-06-18T02:05:14.958760,8.0,6.0,8.0,11.0,11.0,10.0,11.0,5.0
2025-06-18T02:05:15.961559,8.0,5.0,7.0,10.0,9.0,9.0,10.0,6.0
2025-06-18T02:05:16.962195,7.0,5.0,8.0,10.0,11.0,10.0,15.0,6.0
2025-06-18T02:05:17.962818,7.0,5.0,9.0,12.0,11.0,9.0,19.0,5.0
2025-06-18T02:05:18.963783,8.0,6.0,7.0,11.0,9.0,10.0,18.0,6.0
2025-06-18T02:05:19.964609,7.0,4.0,8.0,11.0,11.0,9.0,18.0,5.0
2025-06-18T02:05:20.965426,7.0,6.0,8.0,12.0,9.0,9.0,18.0,5.0
2025-06-18T02:05:21.966356,8.0,4.0,8.0,11.0,11.0,9.0,18.0,7.0
2025-06-18T02:05:22.967749,7.0,5.0,8.0,10.0,10.0,9.0,18.0,5.0
2025-06-18T02:05:23.968438,7.0,6.0,7.0,11.0,10.0,10.0,18.0,6.0
2025-06-18T02:05:24.969776,7.0,5.0,8.0,11.0,9.0,9.0,18.0,5.0
2025-06-18T02:05:25.971778,8.0,5.0,8.0,12.0,11.0,10.0,18.0,6.0
2025-06-18T02:05:26.973226,7.0,5.0,8.0,10.0,10.0,9.0,17.0,6.0
2025-06-18T02:05:27.974020,7.0,5.0,8.0,12.0,9.0,9.0,18.0,6.0
2025-06-18T02:05:28.976615,7.0,5.0,7.0,11.0,11.0,9.0,18.0,6.0
2025-06-18T02:05:29.977285,7.0,5.0,8.0,11.0,9.0,9.0,17.0,4.0
2025-06-18T02:05:30.978507,8.0,6.0,8.0,11.0,10.0,10.0,18.0,6.0
2025-06-18T02:05:31.979478,7.0,4.0,8.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:05:32.981075,7.0,5.0,8.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:05:33.981852,7.0,6.0,8.0,12.0,10.0,9.0,18.0,6.0
2025-06-18T02:05:34.983125,7.0,4.0,8.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:05:35.983579,8.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:05:36.984339,7.0,6.0,8.0,12.0,10.0,10.0,18.0,6.0
2025-06-18T02:05:37.984917,7.0,5.0,8.0,10.0,10.0,9.0,18.0,5.0
2025-06-18T02:05:38.985417,8.0,5.0,7.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:05:39.987653,7.0,5.0,9.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:05:40.988335,7.0,6.0,7.0,11.0,9.0,10.0,18.0,6.0
2025-06-18T02:05:41.989897,6.0,4.0,9.0,11.0,11.0,9.0,17.0,6.0
2025-06-18T02:05:42.991666,8.0,6.0,8.0,12.0,10.0,8.0,18.0,6.0
2025-06-18T02:05:43.992645,8.0,4.0,8.0,10.0,11.0,10.0,18.0,5.0
2025-06-18T02:05:44.993902,6.0,6.0,8.0,12.0,9.0,9.0,17.0,5.0
2025-06-18T02:05:45.995260,8.0,5.0,8.0,10.0,10.0,10.0,18.0,6.0
2025-06-18T02:05:46.995889,7.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:05:47.996533,8.0,5.0,8.0,12.0,10.0,9.0,18.0,5.0
2025-06-18T02:05:48.997076,7.0,5.0,9.0,11.0,11.0,9.0,18.0,6.0
2025-06-18T02:05:49.997620,7.0,5.0,7.0,11.0,9.0,10.0,18.0,6.0
2025-06-18T02:05:50.998141,7.0,5.0,9.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:05:51.999016,7.0,5.0,7.0,12.0,11.0,9.0,19.0,6.0
2025-06-18T02:05:52.999720,8.0,6.0,8.0,10.0,9.0,10.0,17.0,6.0
2025-06-18T02:05:54.000912,6.0,5.0,9.0,12.0,10.0,8.0,17.0,5.0
2025-06-18T02:05:55.002304,8.0,5.0,7.0,11.0,10.0,10.0,19.0,6.0
2025-06-18T02:05:56.003123,7.0,5.0,8.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:05:57.003575,7.0,5.0,8.0,12.0,11.0,9.0,17.0,6.0
2025-06-18T02:05:58.004667,8.0,6.0,9.0,11.0,9.0,10.0,18.0,6.0
2025-06-18T02:05:59.005640,7.0,4.0,7.0,11.0,10.0,9.0,18.0,5.0
2025-06-18T02:06:00.006097,6.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:01.007168,8.0,5.0,8.0,11.0,11.0,9.0,17.0,5.0
2025-06-18T02:06:02.007585,7.0,6.0,7.0,10.0,9.0,9.0,18.0,6.0
2025-06-18T02:06:03.007991,7.0,4.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:04.009415,7.0,6.0,8.0,11.0,9.0,10.0,18.0,5.0
2025-06-18T02:06:05.011157,7.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:06.013202,7.0,5.0,7.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:06:07.015081,8.0,6.0,8.0,12.0,10.0,9.0,18.0,6.0
2025-06-18T02:06:08.015724,7.0,4.0,9.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:06:09.016264,7.0,5.0,7.0,11.0,10.0,10.0,17.0,6.0
2025-06-18T02:06:10.017448,8.0,5.0,8.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:06:11.018071,7.0,5.0,8.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:06:12.018552,7.0,5.0,8.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:06:13.019015,7.0,6.0,9.0,11.0,10.0,10.0,18.0,6.0
2025-06-18T02:06:14.019471,7.0,4.0,7.0,11.0,9.0,8.0,16.0,5.0
2025-06-18T02:06:15.019917,7.0,6.0,7.0,10.0,11.0,9.0,18.0,6.0
2025-06-18T02:06:16.022223,8.0,5.0,9.0,12.0,10.0,11.0,18.0,6.0
2025-06-18T02:06:17.023085,7.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:18.024516,7.0,4.0,8.0,11.0,11.0,8.0,18.0,5.0
2025-06-18T02:06:19.024956,8.0,6.0,7.0,12.0,10.0,10.0,17.0,6.0
2025-06-18T02:06:20.025776,6.0,5.0,8.0,11.0,9.0,9.0,17.0,5.0
2025-06-18T02:06:21.027036,7.0,5.0,8.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:06:22.028462,8.0,5.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:06:23.030151,7.0,5.0,8.0,10.0,9.0,10.0,18.0,5.0
2025-06-18T02:06:24.030997,7.0,5.0,8.0,11.0,11.0,9.0,17.0,5.0
2025-06-18T02:06:25.032414,8.0,6.0,7.0,11.0,10.0,9.0,18.0,6.0
2025-06-18T02:06:26.033585,6.0,5.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:27.034156,7.0,4.0,8.0,10.0,10.0,9.0,16.0,6.0
2025-06-18T02:06:28.034997,8.0,6.0,8.0,12.0,9.0,9.0,17.0,5.0
2025-06-18T02:06:29.037480,7.0,5.0,8.0,10.0,11.0,10.0,18.0,5.0
2025-06-18T02:06:30.038249,7.0,5.0,8.0,11.0,9.0,9.0,17.0,6.0
2025-06-18T02:06:31.038686,8.0,5.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:32.039196,6.0,5.0,8.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:06:33.039636,7.0,5.0,7.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:06:34.040376,8.0,5.0,8.0,11.0,10.0,9.0,18.0,5.0
2025-06-18T02:06:35.042063,7.0,5.0,8.0,11.0,9.0,9.0,16.0,6.0
