timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T02:24:57.883073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T02:24:58.884222,8.0,6.0,6.0,7.0,8.0,7.0,7.0,3.0
2025-06-18T02:24:59.896465,9.9,10.9,8.9,10.9,10.8,9.8,7.9,8.9
2025-06-18T02:25:00.902074,8.9,9.9,7.9,9.9,11.9,9.0,6.0,5.0
2025-06-18T02:25:01.905832,6.0,6.0,4.0,6.0,10.0,6.0,5.0,4.0
2025-06-18T02:25:02.906733,6.0,7.0,4.0,7.0,9.0,8.0,6.0,2.0
2025-06-18T02:25:03.909572,8.0,24.9,6.0,8.0,12.0,12.0,10.0,7.0
2025-06-18T02:25:04.911071,7.0,13.0,6.0,9.0,10.0,10.0,9.0,6.0
2025-06-18T02:25:05.911581,7.0,10.0,5.0,8.0,11.0,9.0,8.0,5.0
2025-06-18T02:25:06.912126,8.0,12.0,5.0,8.0,10.0,10.0,10.0,5.0
2025-06-18T02:25:07.912572,7.0,10.0,6.0,8.0,11.0,10.0,9.0,5.0
2025-06-18T02:25:08.913480,8.0,10.0,5.0,8.0,10.0,11.0,10.0,5.0
2025-06-18T02:25:09.913940,7.0,11.0,5.0,8.0,11.0,9.0,9.0,6.0
2025-06-18T02:25:10.914477,7.0,11.0,5.0,8.0,10.0,11.0,10.0,4.0
2025-06-18T02:25:11.915839,8.0,10.0,5.0,8.0,11.0,9.0,9.0,6.0
2025-06-18T02:25:12.916675,8.0,11.0,5.0,9.0,11.0,11.0,10.0,5.0
2025-06-18T02:25:13.917223,7.0,11.0,6.0,7.0,10.0,9.0,9.0,5.0
2025-06-18T02:25:14.917678,7.0,10.0,5.0,8.0,11.0,11.0,10.0,6.0
2025-06-18T02:25:15.918146,8.0,11.0,4.0,9.0,11.0,9.0,9.0,5.0
2025-06-18T02:25:16.919390,8.0,10.0,6.0,8.0,10.0,11.0,9.0,5.0
2025-06-18T02:25:17.920958,7.0,10.0,4.0,9.0,10.0,10.0,11.0,5.0
2025-06-18T02:25:18.921424,8.0,11.0,6.0,9.0,11.0,10.0,9.0,5.0
2025-06-18T02:25:19.922162,7.0,10.0,5.0,8.0,11.0,10.0,9.0,6.0
2025-06-18T02:25:20.923886,7.0,11.0,5.0,8.0,10.0,10.0,10.0,6.0
2025-06-18T02:25:21.924788,8.0,11.0,6.0,8.0,11.0,10.0,10.0,4.0
2025-06-18T02:25:22.926130,7.0,11.0,5.0,9.0,11.0,11.0,9.0,5.0
2025-06-18T02:25:23.928126,8.0,10.0,5.0,8.0,11.0,10.0,10.0,6.0
2025-06-18T02:25:24.928701,7.0,11.0,5.0,8.0,10.0,10.0,10.0,5.0
2025-06-18T02:25:25.929317,7.0,10.0,5.0,8.0,11.0,10.0,9.0,5.0
2025-06-18T02:25:26.930008,7.0,17.0,6.0,8.0,11.0,11.0,10.0,6.0
2025-06-18T02:25:27.931349,8.0,19.0,5.0,8.0,11.0,10.0,9.0,6.0
2025-06-18T02:25:28.932250,8.0,19.0,4.0,8.0,11.0,11.0,10.0,6.0
2025-06-18T02:25:29.933232,7.0,18.0,5.0,7.0,12.0,10.0,10.0,5.0
2025-06-18T02:25:30.935215,7.0,18.0,6.0,8.0,11.0,10.0,9.0,6.0
2025-06-18T02:25:31.936490,7.0,18.0,5.0,8.0,12.0,10.0,9.0,6.0
2025-06-18T02:25:32.937798,8.0,18.0,5.0,7.0,10.0,10.0,10.0,6.0
2025-06-18T02:25:33.938491,7.0,18.0,5.0,9.0,12.0,10.0,9.0,5.0
2025-06-18T02:25:34.939241,7.0,18.0,6.0,8.0,11.0,10.0,8.0,6.0
2025-06-18T02:25:35.941363,7.0,18.0,4.0,7.0,11.0,11.0,11.0,6.0
2025-06-18T02:25:36.943362,7.0,18.0,5.0,8.0,11.0,9.0,8.0,6.0
2025-06-18T02:25:37.944011,7.0,17.0,6.0,8.0,11.0,10.0,10.0,5.0
2025-06-18T02:25:38.945833,7.0,19.0,4.0,7.0,11.0,11.0,9.0,6.0
2025-06-18T02:25:39.946694,8.0,17.0,6.0,8.0,12.0,10.0,9.0,6.0
