timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T16:00:32.884898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T16:00:33.885961,7.0,5.0,5.0,8.0,9.0,7.0,5.0,6.0
2025-06-18T16:00:34.895987,9.9,11.9,4.9,7.9,10.9,8.9,6.0,7.9
2025-06-18T16:00:35.899517,6.0,9.0,7.0,10.0,9.0,8.0,11.0,4.0
2025-06-18T16:00:36.900234,10.0,6.0,6.0,9.0,10.0,7.0,5.0,6.0
2025-06-18T16:00:37.900691,6.0,7.0,4.0,8.0,9.0,8.0,6.0,3.0
2025-06-18T16:00:38.901961,6.0,14.0,5.0,7.0,10.0,10.0,8.0,4.0
2025-06-18T16:00:39.903172,8.0,22.0,7.0,10.0,12.0,11.0,9.0,7.0
2025-06-18T16:00:40.903956,7.0,10.0,5.0,7.0,10.0,9.0,9.0,5.0
2025-06-18T16:00:41.905235,8.0,11.0,5.0,8.0,11.0,11.0,10.0,5.0
2025-06-18T16:00:42.908896,8.0,11.0,5.0,9.0,10.0,10.0,10.0,6.0
2025-06-18T16:00:43.910556,8.0,10.0,5.0,7.0,10.0,11.0,9.0,5.0
2025-06-18T16:00:44.911319,7.0,11.0,5.0,8.0,11.0,9.0,11.0,6.0
2025-06-18T16:00:45.913666,8.0,10.0,5.0,8.0,11.0,10.0,9.0,5.0
2025-06-18T16:00:46.914486,7.0,11.0,6.0,8.0,10.0,11.0,9.0,5.0
2025-06-18T16:00:47.915144,8.0,10.0,4.0,8.0,11.0,10.0,11.0,5.0
2025-06-18T16:00:48.915957,7.0,10.0,5.0,9.0,10.0,10.0,9.0,5.0
2025-06-18T16:00:49.918723,6.0,9.0,5.0,7.0,9.0,8.0,8.0,5.0
2025-06-18T16:00:50.920663,7.0,9.0,5.0,8.0,10.0,8.0,9.0,5.0
2025-06-18T16:00:51.921705,7.0,10.0,4.0,7.0,9.0,10.0,8.0,5.0
2025-06-18T16:00:52.922509,7.0,10.0,5.0,8.0,10.0,9.0,10.0,5.0
2025-06-18T16:00:53.923199,7.0,9.0,5.0,8.0,10.0,10.0,9.0,5.0
2025-06-18T16:00:54.925051,8.0,11.0,6.0,8.0,10.0,11.0,9.0,6.0
2025-06-18T16:00:55.925500,7.0,10.0,5.0,8.0,11.0,9.0,10.0,4.0
2025-06-18T16:00:56.926036,8.0,11.0,4.0,10.0,11.0,11.0,10.0,6.0
2025-06-18T16:00:57.926997,8.0,11.0,5.0,8.0,11.0,10.0,10.0,5.0
2025-06-18T16:00:58.927990,7.0,10.0,6.0,8.0,11.0,10.0,10.0,5.0
2025-06-18T16:00:59.930401,8.0,11.0,5.0,8.0,11.0,11.0,9.0,6.0
2025-06-18T16:01:00.931413,8.0,9.0,5.0,8.0,10.0,10.0,10.0,6.0
2025-06-18T16:01:01.932019,7.0,15.0,6.0,7.0,14.0,10.0,10.0,4.0
2025-06-18T16:01:02.932701,7.0,20.0,4.0,8.0,21.0,10.0,8.0,7.0
