timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-18T17:11:53.768306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T17:11:54.769315,6.0,8.0,7.0,5.0,4.0,5.0,5.0,5.0
2025-06-18T17:11:55.773763,10.0,10.0,12.9,9.0,13.9,10.9,12.9,9.0
2025-06-18T17:11:56.780601,8.9,10.9,9.9,8.9,7.9,7.9,9.9,6.9
2025-06-18T17:11:57.793573,7.9,7.9,13.9,6.9,7.9,5.9,5.9,4.9
2025-06-18T17:11:58.795061,5.0,7.0,9.0,7.0,6.0,6.0,6.0,4.0
2025-06-18T17:11:59.796465,3.0,6.0,9.0,5.0,7.0,5.0,6.0,2.0
2025-06-18T17:12:00.797861,7.0,8.0,11.0,7.0,12.0,9.0,23.0,6.0
2025-06-18T17:12:01.805583,6.0,8.9,10.9,7.9,10.9,9.9,13.9,6.0
2025-06-18T17:12:02.807134,6.0,9.0,11.0,8.0,11.0,10.0,12.0,6.0
2025-06-18T17:12:03.809755,4.0,7.0,10.0,7.0,10.0,9.0,10.0,6.0
2025-06-18T17:12:04.810280,6.0,9.0,11.0,7.0,10.0,10.0,10.0,5.0
2025-06-18T17:12:05.810887,5.0,8.0,11.0,8.0,10.0,10.0,11.0,5.0
2025-06-18T17:12:06.811869,6.0,8.0,10.0,8.0,10.0,10.0,10.0,6.0
2025-06-18T17:12:07.812309,5.0,8.0,11.0,7.0,10.0,9.0,11.0,6.0
2025-06-18T17:12:08.812818,5.0,9.0,10.0,8.0,10.0,10.0,11.0,5.0
2025-06-18T17:12:09.813470,6.0,7.0,11.0,7.0,11.0,9.0,10.0,5.0
2025-06-18T17:12:10.814465,5.0,9.0,10.0,8.0,10.0,10.0,11.0,6.0
2025-06-18T17:12:11.815005,5.0,9.0,10.0,7.0,10.0,10.0,10.0,5.0
2025-06-18T17:12:12.817000,6.0,9.0,12.0,8.0,11.0,10.0,12.0,5.0
2025-06-18T17:12:13.818796,5.0,8.0,11.0,7.0,10.0,10.0,10.0,6.0
2025-06-18T17:12:14.821714,6.0,9.0,11.0,8.0,11.0,9.0,10.0,5.0
2025-06-18T17:12:15.822917,5.0,9.0,10.0,7.0,10.0,10.0,11.0,6.0
2025-06-18T17:12:16.823552,5.0,8.0,10.0,9.0,10.0,10.0,11.0,5.0
2025-06-18T17:12:17.824054,6.0,8.0,11.0,8.0,11.0,10.0,11.0,6.0
2025-06-18T17:12:18.824834,5.0,9.0,11.0,7.0,11.0,10.0,11.0,5.0
2025-06-18T17:12:19.826975,6.0,8.0,11.0,7.0,10.0,10.0,10.0,6.0
2025-06-18T17:12:20.829184,5.0,9.0,10.0,8.0,10.0,9.0,11.0,5.0
2025-06-18T17:12:21.829700,5.0,7.0,11.0,8.0,10.0,10.0,11.0,6.0
2025-06-18T17:12:22.830242,6.0,8.0,15.0,6.0,11.0,10.0,15.0,6.0
2025-06-18T17:12:23.831006,5.0,8.0,21.0,8.0,10.0,9.0,19.0,6.0
2025-06-18T17:12:24.831650,6.0,8.0,21.0,7.0,10.0,9.0,19.0,6.0
2025-06-18T17:12:25.832090,5.0,7.0,21.0,7.0,11.0,9.0,19.0,6.0
2025-06-18T17:12:26.832715,5.0,8.0,22.0,8.0,10.0,10.0,18.0,6.0
2025-06-18T17:12:27.833338,5.0,8.0,21.0,6.0,10.0,9.0,19.0,6.0
2025-06-18T17:12:28.834769,6.0,8.0,21.0,8.0,11.0,9.0,18.0,5.0
2025-06-18T17:12:29.835458,5.0,7.0,21.0,7.0,10.0,10.0,18.0,6.0
2025-06-18T17:12:30.836993,5.0,8.0,21.0,7.0,10.0,8.0,18.0,6.0
2025-06-18T17:12:31.838488,6.0,8.0,21.0,8.0,10.0,10.0,18.0,6.0
2025-06-18T17:12:32.840090,5.0,8.0,21.0,7.0,11.0,9.0,18.0,7.0
2025-06-18T17:12:33.840939,5.0,8.0,21.0,7.0,9.0,10.0,19.0,6.0
2025-06-18T17:12:34.842463,6.0,8.0,22.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:35.843648,5.0,8.0,21.0,7.0,10.0,10.0,17.0,6.0
2025-06-18T17:12:36.844232,6.0,8.0,21.0,8.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:37.846789,5.0,8.0,21.0,8.0,11.0,9.0,18.0,5.0
2025-06-18T17:12:38.847333,5.0,7.0,21.0,6.0,10.0,10.0,18.0,7.0
2025-06-18T17:12:39.847772,5.0,8.0,22.0,7.0,10.0,9.0,18.0,5.0
2025-06-18T17:12:40.851017,6.0,9.0,20.9,8.0,10.0,9.0,18.9,6.0
2025-06-18T17:12:41.851735,5.0,8.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:42.854214,5.0,8.0,20.9,7.0,10.9,9.0,16.9,6.0
2025-06-18T17:12:43.857980,5.0,7.0,22.0,7.0,10.0,10.0,19.0,6.0
2025-06-18T17:12:44.860012,5.0,9.0,20.0,8.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:45.860570,5.0,7.0,21.0,7.0,11.0,10.0,18.0,6.0
2025-06-18T17:12:46.861111,6.0,9.0,22.0,8.0,10.0,10.0,18.0,6.0
2025-06-18T17:12:47.862824,5.0,8.0,21.0,6.0,10.0,8.0,18.0,6.0
2025-06-18T17:12:48.864668,5.0,7.0,20.0,7.0,10.0,9.0,16.9,6.0
2025-06-18T17:12:49.866631,6.0,9.0,21.0,7.0,10.0,10.0,18.0,6.0
2025-06-18T17:12:50.867324,5.0,8.0,21.0,8.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:51.867968,5.0,8.0,21.0,7.0,10.0,9.0,18.0,5.0
2025-06-18T17:12:52.868952,5.0,9.0,21.0,7.0,11.0,10.0,18.0,7.0
2025-06-18T17:12:53.869677,5.0,7.0,21.0,7.0,10.0,9.0,17.0,6.0
2025-06-18T17:12:54.870910,5.0,8.0,22.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:12:55.872747,6.0,8.0,20.0,7.0,10.0,10.0,18.0,5.0
2025-06-18T17:12:56.874609,6.0,8.0,23.0,8.0,10.0,10.0,19.0,6.0
2025-06-18T17:12:57.875601,5.0,9.0,21.0,7.0,10.0,9.0,17.0,6.0
2025-06-18T17:12:58.876216,5.0,9.0,21.0,7.0,11.0,9.0,18.0,6.0
2025-06-18T17:12:59.876983,5.0,7.0,21.0,7.0,10.0,9.0,19.0,6.0
2025-06-18T17:13:00.878675,5.0,8.0,21.0,7.0,9.0,10.0,17.0,6.0
2025-06-18T17:13:01.879548,6.0,8.0,20.0,8.0,12.0,9.0,18.0,6.0
2025-06-18T17:13:02.880349,6.0,9.0,22.0,7.0,9.0,10.0,19.0,6.0
2025-06-18T17:13:03.881731,4.0,8.0,21.0,7.0,10.0,8.0,17.0,6.0
2025-06-18T17:13:04.884629,6.0,7.0,21.9,7.0,10.0,10.0,17.9,7.0
2025-06-18T17:13:05.887742,5.0,9.0,20.9,7.0,11.0,10.0,18.0,5.0
2025-06-18T17:13:06.889726,5.0,7.0,21.0,8.0,10.0,9.0,17.0,6.0
2025-06-18T17:13:07.890712,6.0,10.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:08.891224,4.0,7.0,22.0,7.0,10.0,10.0,18.0,6.0
2025-06-18T17:13:09.891836,6.0,9.0,20.0,8.0,10.0,10.0,18.0,6.0
2025-06-18T17:13:10.892419,6.0,8.0,21.0,7.0,11.0,9.0,17.0,6.0
2025-06-18T17:13:11.892952,4.0,7.0,22.0,8.0,10.0,8.0,18.0,6.0
2025-06-18T17:13:12.894254,5.0,9.0,20.0,7.0,9.0,10.0,17.0,5.0
2025-06-18T17:13:13.897638,6.0,7.0,20.9,7.0,11.0,9.0,17.9,6.0
2025-06-18T17:13:14.900782,5.0,9.0,21.9,7.0,10.0,9.0,17.9,6.0
2025-06-18T17:13:15.901894,6.0,7.0,21.0,7.0,10.0,10.0,18.0,6.0
2025-06-18T17:13:16.903467,5.0,8.0,22.0,7.0,11.0,9.0,17.0,6.0
2025-06-18T17:13:17.905297,5.0,9.0,21.0,7.0,9.0,9.0,18.0,6.0
2025-06-18T17:13:18.905843,5.0,8.0,22.0,8.0,11.0,10.0,18.0,6.0
2025-06-18T17:13:19.906482,6.0,7.0,20.0,7.0,10.0,9.0,19.0,7.0
2025-06-18T17:13:20.907538,5.0,9.0,22.0,8.0,11.0,10.0,18.0,5.0
2025-06-18T17:13:21.908099,6.0,8.0,20.0,6.0,9.0,9.0,17.0,6.0
2025-06-18T17:13:22.909095,5.0,9.0,22.0,8.0,11.0,10.0,18.0,6.0
2025-06-18T17:13:23.909593,5.0,7.0,20.0,7.0,10.0,8.0,17.0,6.0
2025-06-18T17:13:24.910079,5.0,8.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:25.911086,6.0,9.0,21.0,7.0,11.0,11.0,17.0,6.0
2025-06-18T17:13:26.914136,5.0,7.0,20.9,8.0,10.0,9.0,19.0,6.0
2025-06-18T17:13:27.915673,5.0,9.0,21.0,6.0,10.0,9.0,17.0,6.0
2025-06-18T17:13:28.916736,6.0,7.0,22.0,7.0,11.0,9.0,18.0,6.0
2025-06-18T17:13:29.918539,5.0,8.0,20.0,8.0,10.0,10.0,17.0,6.0
2025-06-18T17:13:30.920543,5.0,8.0,22.0,7.0,10.0,10.0,18.0,5.0
2025-06-18T17:13:31.922519,6.0,9.0,21.0,7.0,11.0,8.0,18.0,7.0
2025-06-18T17:13:32.924072,5.0,8.0,21.0,8.0,10.0,9.0,17.0,6.0
2025-06-18T17:13:33.925063,5.0,8.0,22.0,7.0,10.0,10.0,17.0,5.0
2025-06-18T17:13:34.926174,6.0,7.0,20.9,7.0,11.0,10.0,17.9,7.0
2025-06-18T17:13:35.929048,5.0,9.0,20.0,7.0,9.0,8.0,17.0,5.0
2025-06-18T17:13:36.930053,5.0,7.0,22.0,7.0,10.0,9.0,17.0,7.0
2025-06-18T17:13:37.931509,6.0,10.0,21.0,8.0,10.0,11.0,17.0,6.0
2025-06-18T17:13:38.932094,5.0,7.0,21.0,7.0,10.0,9.0,18.0,5.0
2025-06-18T17:13:39.933115,5.0,8.0,21.0,8.0,10.0,9.0,17.0,6.0
2025-06-18T17:13:40.934299,5.0,8.0,21.9,7.0,11.0,9.0,19.0,6.0
2025-06-18T17:13:41.937893,5.0,8.0,20.0,6.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:42.938669,6.0,7.0,22.0,8.0,10.0,10.0,16.0,6.0
2025-06-18T17:13:43.939215,5.0,10.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:44.939834,6.0,7.0,21.0,7.0,11.0,9.0,17.0,6.0
2025-06-18T17:13:45.940316,4.0,9.0,21.0,8.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:46.940886,6.0,7.0,22.0,6.0,10.0,10.0,17.0,6.0
2025-06-18T17:13:47.941379,5.0,9.0,21.9,7.0,10.0,9.0,17.9,6.0
2025-06-18T17:13:48.944857,5.0,8.0,21.0,8.0,11.0,10.0,18.0,6.0
2025-06-18T17:13:49.945359,6.0,9.0,21.0,7.0,9.0,9.0,17.0,6.0
2025-06-18T17:13:50.945813,5.0,8.0,21.0,7.0,11.0,9.0,17.0,5.0
2025-06-18T17:13:51.946293,5.0,8.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-18T17:13:52.947760,6.0,8.0,22.0,8.0,10.0,10.0,17.0,7.0
2025-06-18T17:13:53.948703,5.0,8.0,21.0,7.0,11.0,10.0,18.0,6.0
2025-06-18T17:13:54.952003,5.0,8.0,20.9,8.0,10.0,9.0,16.9,6.0
2025-06-18T17:13:55.953313,6.0,8.0,22.0,7.0,11.0,10.0,18.0,6.0
2025-06-18T17:13:56.958793,5.0,8.0,20.9,7.0,9.0,8.0,17.9,5.0
2025-06-18T17:13:57.959605,6.0,8.0,21.0,8.0,11.0,10.0,18.0,7.0
2025-06-18T17:13:58.960307,5.0,8.0,21.0,7.0,10.0,9.0,17.0,5.0
2025-06-18T17:13:59.961260,5.0,8.0,21.0,7.0,10.0,9.0,17.0,6.0
2025-06-18T17:14:00.961866,5.0,7.0,22.0,7.0,10.0,9.0,18.0,7.0
2025-06-18T17:14:01.963088,6.0,9.0,22.0,7.0,11.0,10.0,18.0,6.0
2025-06-18T17:14:02.963608,4.0,8.0,21.0,8.0,10.0,10.0,17.0,6.0
2025-06-18T17:14:03.965763,6.0,7.0,21.9,7.0,11.0,9.0,17.9,5.0
2025-06-18T17:14:04.969875,6.0,9.0,20.9,8.0,11.0,10.0,18.0,6.0
2025-06-18T17:14:05.970290,5.0,8.0,20.0,7.0,9.0,9.0,17.0,6.0
2025-06-18T17:14:06.970903,5.0,7.0,23.0,7.0,11.0,9.0,17.0,6.0
2025-06-18T17:14:07.971373,6.0,9.0,21.0,7.0,11.0,10.0,19.0,7.0
2025-06-18T17:14:08.972298,5.0,7.0,21.0,7.0,10.0,9.0,16.0,5.0
2025-06-18T17:14:09.972843,5.0,9.0,21.0,7.0,9.0,9.0,18.0,6.0
2025-06-18T17:14:10.973392,6.0,7.0,21.0,8.0,11.0,10.0,17.0,6.0
2025-06-18T17:14:11.973872,5.0,8.0,21.0,7.0,11.0,9.0,18.0,6.0
2025-06-18T17:14:12.974292,5.0,9.0,21.0,8.0,9.0,9.0,17.0,6.0
2025-06-18T17:14:13.974821,6.0,7.0,21.0,7.0,11.0,10.0,18.0,6.0
2025-06-18T17:14:14.976076,5.0,8.0,22.0,8.0,9.0,10.0,17.0,6.0
2025-06-18T17:14:15.977392,5.0,8.0,21.0,6.0,11.0,9.0,18.0,6.0
2025-06-18T17:14:16.977977,6.0,9.0,21.0,8.0,10.0,10.0,18.0,6.0
2025-06-18T17:14:17.978733,5.0,8.0,21.0,7.0,10.0,9.0,17.0,6.0
2025-06-18T17:14:18.979287,5.0,8.0,21.0,8.0,11.0,9.0,18.0,6.0
2025-06-18T17:14:19.981195,6.0,8.0,22.0,7.0,10.0,9.0,17.0,6.0
2025-06-18T17:14:20.982681,5.0,8.0,21.0,6.0,11.0,10.0,17.0,6.0
2025-06-18T17:14:21.983605,5.0,8.0,20.0,8.0,10.0,9.0,17.0,5.0
2025-06-18T17:14:22.985232,5.0,8.0,22.0,7.0,10.0,10.0,18.0,7.0
