timestamp,bt_navigator,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T18:16:38.760470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T18:16:39.761229,9.0,4.0,7.0,8.0,5.0,5.0,6.0,4.0
2025-06-20T18:16:40.763142,10.0,9.0,9.0,11.0,11.0,9.0,8.0,6.0
2025-06-20T18:16:41.773189,7.9,6.9,8.9,9.9,7.9,7.9,5.0,5.9
2025-06-20T18:16:42.781815,6.9,5.9,9.9,10.9,6.9,6.9,7.9,5.0
2025-06-20T18:16:43.782283,7.0,10.0,9.0,12.0,10.0,11.0,10.0,8.0
2025-06-20T18:16:44.782824,6.0,5.0,7.0,10.0,6.0,11.0,6.0,3.0
2025-06-20T18:16:45.784521,26.9,6.0,8.0,11.0,9.0,12.0,11.0,8.0
2025-06-20T18:16:46.785482,11.0,6.0,9.0,10.0,6.0,9.0,10.0,6.0
2025-06-20T18:16:47.786404,10.0,5.0,7.0,10.0,8.0,10.0,8.0,5.0
2025-06-20T18:16:48.787508,12.0,6.0,9.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:16:49.788388,10.0,5.0,8.0,10.0,7.0,10.0,8.0,5.0
2025-06-20T18:16:50.788926,11.0,5.0,8.0,10.0,8.0,9.0,9.0,5.0
2025-06-20T18:16:51.791020,10.0,6.0,8.0,10.0,7.0,10.0,8.0,6.0
2025-06-20T18:16:52.791492,11.0,6.0,8.0,11.0,7.0,9.0,8.0,5.0
2025-06-20T18:16:53.791966,10.0,4.0,9.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T18:16:54.792544,11.0,6.0,8.0,10.0,7.0,9.0,9.0,5.0
2025-06-20T18:16:55.793129,11.0,5.0,8.0,10.0,7.0,9.0,8.0,6.0
2025-06-20T18:16:56.794106,10.0,5.0,9.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T18:16:57.798994,10.9,6.0,9.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T18:16:58.799758,11.0,6.0,9.0,11.0,8.0,9.0,8.0,6.0
2025-06-20T18:16:59.800542,10.0,5.0,8.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T18:17:00.800961,11.0,6.0,9.0,11.0,8.0,11.0,10.0,5.0
2025-06-20T18:17:01.801833,10.0,4.0,8.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T18:17:02.802412,11.0,6.0,8.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T18:17:03.803087,10.0,5.0,9.0,12.0,8.0,11.0,10.0,6.0
2025-06-20T18:17:04.803564,11.0,5.0,9.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T18:17:05.804149,10.0,6.0,7.0,10.0,8.0,9.0,9.0,5.0
2025-06-20T18:17:06.804693,11.0,5.0,8.0,12.0,8.0,11.0,10.0,5.0
2025-06-20T18:17:07.805167,11.0,5.0,8.0,10.0,7.0,10.0,11.0,5.0
2025-06-20T18:17:08.805873,14.0,5.0,9.0,12.0,8.0,11.0,9.0,6.0
2025-06-20T18:17:09.807703,18.0,6.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:17:10.809440,18.0,6.0,8.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T18:17:11.810953,18.0,5.0,8.0,11.0,7.0,12.0,10.0,6.0
2025-06-20T18:17:12.811802,18.0,5.0,8.0,11.0,7.0,9.0,10.0,5.0
2025-06-20T18:17:13.814327,18.0,5.0,8.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T18:17:14.816109,18.0,5.0,8.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:17:15.816632,17.0,5.0,8.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T18:17:16.817524,18.0,6.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:17:17.818719,18.0,5.0,8.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:17:18.819345,18.0,6.0,8.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T18:17:19.822464,18.9,4.0,8.0,12.0,8.0,11.0,10.0,6.0
2025-06-20T18:17:20.823068,17.0,6.0,8.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:17:21.823619,19.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:17:22.825125,17.0,5.0,8.0,11.0,8.0,9.0,9.0,5.0
2025-06-20T18:17:23.826722,18.0,5.0,8.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:17:24.828742,18.0,6.0,8.0,11.0,8.0,9.0,10.0,5.0
2025-06-20T18:17:25.829541,18.0,5.0,7.0,11.0,7.0,11.0,10.0,7.0
2025-06-20T18:17:26.830090,17.0,5.0,9.0,12.0,8.0,10.0,9.0,5.0
2025-06-20T18:17:27.831510,17.0,5.0,9.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T18:17:28.832136,19.0,6.0,8.0,11.0,8.0,11.0,9.0,5.0
2025-06-20T18:17:29.833230,18.0,5.0,9.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:17:30.834349,18.0,5.0,8.0,12.0,7.0,11.0,10.0,6.0
2025-06-20T18:17:31.835074,18.0,5.0,7.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T18:17:32.835636,18.0,5.0,8.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:17:33.836597,17.0,6.0,8.0,12.0,8.0,9.0,10.0,6.0
2025-06-20T18:17:34.837621,18.0,5.0,9.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T18:17:35.840853,17.9,5.0,7.0,11.0,7.0,9.0,9.0,7.0
2025-06-20T18:17:36.841604,18.0,5.0,8.0,10.0,6.0,9.0,9.0,4.0
2025-06-20T18:17:37.842609,17.0,5.0,7.0,11.0,7.0,10.0,8.0,6.0
2025-06-20T18:17:38.843946,19.0,5.0,8.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:17:39.846112,17.0,5.0,7.0,10.0,6.0,10.0,9.0,6.0
2025-06-20T18:17:40.847975,19.0,5.0,9.0,12.0,8.0,10.0,9.0,5.0
2025-06-20T18:17:41.849329,17.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:17:42.849996,19.0,7.0,8.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T18:17:43.850785,17.0,4.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:17:44.852203,19.0,5.0,8.0,12.0,7.0,11.0,9.0,5.0
2025-06-20T18:17:45.854857,17.0,6.0,8.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:17:46.855803,18.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:17:47.857577,18.0,5.0,7.0,11.0,7.0,9.0,10.0,6.0
2025-06-20T18:17:48.859945,17.0,5.0,9.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T18:17:49.860500,19.0,6.0,8.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T18:17:50.861400,17.0,5.0,8.0,12.0,7.0,9.0,9.0,6.0
2025-06-20T18:17:51.862479,19.0,5.0,8.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T18:17:52.863716,17.0,5.0,8.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T18:17:53.864284,18.0,5.0,9.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T18:17:54.865190,18.0,6.0,7.0,12.0,8.0,11.0,10.0,7.0
2025-06-20T18:17:55.865753,17.0,5.0,9.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T18:17:56.867101,18.0,5.0,8.0,12.0,8.0,11.0,10.0,5.0
2025-06-20T18:17:57.867609,18.0,5.0,9.0,12.0,7.0,10.0,9.0,7.0
2025-06-20T18:17:58.869871,18.0,6.0,8.0,11.0,8.0,9.0,10.0,5.0
2025-06-20T18:17:59.870773,18.0,5.0,7.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:00.871849,17.0,5.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:01.872445,18.0,6.0,9.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:18:02.873957,19.0,5.0,8.0,12.0,8.0,11.0,11.0,6.0
2025-06-20T18:18:03.876738,18.0,5.0,9.0,10.0,8.0,11.0,9.0,5.0
2025-06-20T18:18:04.877638,17.0,5.0,7.0,12.0,6.0,9.0,10.0,5.0
2025-06-20T18:18:05.878109,18.0,5.0,8.0,11.0,7.0,11.0,9.0,7.0
2025-06-20T18:18:06.878608,17.0,6.0,9.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T18:18:07.879317,18.0,4.0,7.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T18:18:08.880987,18.0,6.0,9.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:09.881956,18.0,5.0,7.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T18:18:10.882820,18.0,5.0,8.0,12.0,6.0,11.0,10.0,5.0
2025-06-20T18:18:11.883523,18.0,5.0,9.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T18:18:12.883992,17.0,6.0,8.0,10.0,7.0,12.0,10.0,6.0
2025-06-20T18:18:13.884737,17.0,5.0,8.0,12.0,9.0,10.0,10.0,5.0
2025-06-20T18:18:14.885183,18.0,5.0,7.0,12.0,6.0,9.0,10.0,6.0
2025-06-20T18:18:15.886625,18.0,5.0,9.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:16.887279,17.0,6.0,8.0,12.0,8.0,11.0,9.0,6.0
2025-06-20T18:18:17.888079,18.0,5.0,9.0,11.0,7.0,10.0,11.0,5.0
2025-06-20T18:18:18.891011,17.9,6.0,7.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:19.892732,17.0,5.0,9.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:18:20.895026,18.0,5.0,7.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:21.895974,18.0,5.0,9.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T18:18:22.897802,17.0,5.0,8.0,10.0,7.0,10.0,9.0,4.0
2025-06-20T18:18:23.900312,18.0,6.0,8.0,11.0,7.0,9.0,10.0,7.0
2025-06-20T18:18:24.902082,17.0,5.0,9.0,12.0,8.0,11.0,9.0,5.0
2025-06-20T18:18:25.903848,17.0,5.0,7.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:26.904441,15.0,5.0,9.0,10.0,8.0,11.0,10.0,6.0
2025-06-20T18:18:27.905515,18.0,5.0,7.0,12.0,7.0,11.0,9.0,5.0
2025-06-20T18:18:28.906214,17.0,5.0,8.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:29.906866,15.0,6.0,8.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:30.908011,18.0,5.0,9.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T18:18:31.908572,18.0,5.0,8.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:32.909019,17.0,5.0,8.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T18:18:33.910449,17.0,5.0,8.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:34.910925,16.0,5.0,8.0,12.0,7.0,10.0,9.0,5.0
2025-06-20T18:18:35.912656,17.0,6.0,7.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:18:36.913824,16.0,5.0,10.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:18:37.914555,18.0,5.0,8.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:38.915072,18.0,6.0,9.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T18:18:39.915642,17.0,5.0,9.0,11.0,9.0,11.0,10.0,5.0
2025-06-20T18:18:40.916138,17.0,5.0,7.0,11.0,6.0,9.0,9.0,6.0
2025-06-20T18:18:41.916663,17.0,5.0,9.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:18:42.917670,18.0,6.0,8.0,11.0,8.0,11.0,9.0,5.0
2025-06-20T18:18:43.918727,16.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:44.919226,18.0,5.0,8.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T18:18:45.920795,17.0,5.0,8.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T18:18:46.921389,17.0,4.0,8.0,11.0,6.0,9.0,9.0,6.0
2025-06-20T18:18:47.922025,18.0,6.0,8.0,11.0,9.0,11.0,10.0,6.0
2025-06-20T18:18:48.922703,17.0,5.0,8.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:18:49.923240,18.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:18:50.924623,17.0,6.0,9.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T18:18:51.925539,16.0,5.0,7.0,11.0,8.0,11.0,11.0,5.0
2025-06-20T18:18:52.926418,18.0,5.0,9.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:18:53.927093,18.0,5.0,8.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:18:54.928556,17.0,6.0,7.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T18:18:55.929111,17.0,5.0,8.0,12.0,7.0,10.0,9.0,4.0
2025-06-20T18:18:56.929992,18.0,5.0,8.0,12.0,7.0,11.0,10.0,6.0
2025-06-20T18:18:57.932274,16.0,5.0,9.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T18:18:58.932860,17.0,5.0,7.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T18:18:59.934263,18.0,6.0,8.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T18:19:00.936338,18.0,4.0,9.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:19:01.938725,17.0,6.0,8.0,11.0,8.0,10.0,11.0,5.0
2025-06-20T18:19:02.939276,17.0,6.0,7.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:19:03.939753,16.0,4.0,10.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:19:04.940193,17.0,6.0,6.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T18:19:05.941578,18.0,5.0,9.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:19:06.942512,17.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:19:07.943068,17.0,5.0,8.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:19:08.943522,17.0,5.0,9.0,11.0,8.0,11.0,10.0,7.0
2025-06-20T18:19:09.944788,16.0,6.0,7.0,11.0,7.0,9.0,10.0,5.0
2025-06-20T18:19:10.945610,18.0,5.0,9.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:19:11.946141,17.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:19:12.946928,18.0,5.0,8.0,12.0,7.0,9.0,9.0,5.0
2025-06-20T18:19:13.948455,17.0,6.0,7.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T18:19:14.949504,17.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:19:15.950018,17.0,5.0,9.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T18:19:16.950509,17.0,5.0,8.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T18:19:17.951995,17.0,6.0,8.0,12.0,8.0,11.0,9.0,6.0
2025-06-20T18:19:18.953725,18.0,4.0,8.0,10.0,6.0,9.0,10.0,6.0
2025-06-20T18:19:19.954427,17.0,6.0,8.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:19:20.955203,18.0,4.0,7.0,10.0,7.0,9.0,8.0,6.0
2025-06-20T18:19:21.958702,16.9,6.0,8.0,12.0,8.0,11.0,10.0,6.0
2025-06-20T18:19:22.959270,19.0,5.0,9.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T18:19:23.960141,18.0,5.0,8.0,11.0,8.0,11.0,9.0,5.0
2025-06-20T18:19:24.960810,17.0,5.0,9.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T18:19:25.961911,17.0,5.0,7.0,13.0,7.0,10.0,9.0,6.0
2025-06-20T18:19:26.962387,17.0,6.0,10.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T18:19:27.963522,17.0,6.0,7.0,12.0,8.0,10.0,10.0,5.0
2025-06-20T18:19:28.964623,18.0,5.0,9.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:19:29.967730,16.9,5.0,8.0,11.0,7.0,10.0,11.0,6.0
2025-06-20T18:19:30.969377,17.0,5.0,8.0,11.0,8.0,11.0,9.0,5.0
2025-06-20T18:19:31.969877,17.0,5.0,7.0,12.0,7.0,9.0,9.0,6.0
2025-06-20T18:19:32.970546,18.0,6.0,9.0,11.0,8.0,12.0,10.0,6.0
2025-06-20T18:19:33.972535,16.0,5.0,8.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T18:19:34.972971,16.0,4.0,8.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T18:19:35.973453,18.0,7.0,9.0,11.0,6.0,9.0,9.0,6.0
2025-06-20T18:19:36.974072,18.0,5.0,8.0,11.0,8.0,11.0,11.0,5.0
2025-06-20T18:19:37.974798,16.0,5.0,7.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T18:19:38.975695,18.0,5.0,9.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:19:39.976342,17.0,5.0,9.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:19:40.977834,17.0,6.0,7.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T18:19:41.979768,16.0,5.0,8.0,12.0,7.0,11.0,10.0,5.0
2025-06-20T18:19:42.981145,17.0,4.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:19:43.981602,17.0,5.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:19:44.983125,18.0,6.0,7.0,10.0,8.0,11.0,9.0,5.0
2025-06-20T18:19:45.984222,16.0,6.0,8.0,12.0,7.0,10.0,10.0,5.0
2025-06-20T18:19:46.985646,16.0,4.0,9.0,11.0,7.0,11.0,9.0,7.0
2025-06-20T18:19:47.987031,19.0,6.0,8.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:19:48.990144,16.9,4.0,8.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:19:49.992972,16.0,6.0,8.0,10.0,7.0,10.0,10.0,4.0
2025-06-20T18:19:50.993588,17.0,5.0,8.0,12.0,8.0,11.0,9.0,6.0
