timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-20T13:07:26.721431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T13:07:27.723111,6.0,7.0,13.0,7.0,8.9,6.0,6.9,4.9
2025-06-20T13:07:28.738598,9.8,9.8,13.7,7.8,7.9,7.9,5.9,7.9
2025-06-20T13:07:29.750896,6.9,8.0,10.9,7.0,8.9,7.0,9.9,8.9
2025-06-20T13:07:30.751491,5.0,8.0,9.0,7.0,9.0,7.0,9.0,4.0
2025-06-20T13:07:31.752243,4.0,7.0,10.0,6.0,5.0,4.0,5.0,3.0
2025-06-20T13:07:32.755842,3.0,8.0,9.0,5.0,4.0,5.0,6.0,3.0
2025-06-20T13:07:33.757130,4.0,7.0,8.0,6.0,6.0,4.0,6.0,2.0
2025-06-20T13:07:34.757584,3.0,6.0,9.0,5.0,5.0,5.0,6.0,2.0
2025-06-20T13:07:35.758222,5.0,7.0,9.0,6.0,6.0,3.0,6.0,3.0
2025-06-20T13:07:36.758896,5.0,6.0,11.0,8.0,13.0,10.0,26.0,6.0
2025-06-20T13:07:37.759594,6.0,8.0,10.0,7.0,10.0,9.0,13.0,6.0
2025-06-20T13:07:38.761031,7.0,9.0,10.0,8.0,10.0,8.0,12.0,6.0
2025-06-20T13:07:39.763365,5.0,8.0,11.0,8.0,9.0,10.0,11.0,5.0
2025-06-20T13:07:40.763905,5.0,7.0,11.0,6.0,10.0,8.0,11.0,6.0
2025-06-20T13:07:41.764373,5.0,8.0,10.0,8.0,9.0,8.0,10.0,6.0
2025-06-20T13:07:42.765158,6.0,10.0,10.0,7.0,9.0,9.0,11.0,6.0
2025-06-20T13:07:43.765786,6.0,8.0,11.0,8.0,9.0,9.0,11.0,4.0
2025-06-20T13:07:44.766643,5.0,8.0,11.0,7.0,10.0,8.0,12.0,6.0
2025-06-20T13:07:45.768007,6.0,8.0,11.0,7.0,10.0,8.0,10.0,6.0
2025-06-20T13:07:46.768520,5.0,8.0,9.0,8.0,9.0,9.0,10.0,5.0
2025-06-20T13:07:47.768971,5.0,9.0,12.0,8.0,10.0,9.0,11.0,6.0
2025-06-20T13:07:48.769541,5.0,9.0,11.0,8.0,11.0,11.0,11.0,6.0
2025-06-20T13:07:49.770729,6.0,9.0,10.0,7.0,9.0,10.0,11.0,5.0
2025-06-20T13:07:50.771902,6.0,8.0,12.0,9.0,11.0,9.0,12.0,6.0
2025-06-20T13:07:51.772493,5.0,9.0,10.0,7.0,10.0,10.0,10.0,6.0
2025-06-20T13:07:52.773042,6.0,8.0,12.0,8.0,11.0,10.0,11.0,5.0
2025-06-20T13:07:53.773795,6.0,8.0,11.0,9.0,9.0,10.0,11.0,6.0
2025-06-20T13:07:54.774502,5.0,9.0,11.0,7.0,11.0,10.0,10.0,6.0
2025-06-20T13:07:55.776042,5.0,8.0,11.0,8.0,10.0,9.0,11.0,5.0
2025-06-20T13:07:56.776541,6.0,8.0,11.0,8.0,11.0,11.0,11.0,6.0
2025-06-20T13:07:57.777067,5.0,8.0,11.0,7.0,10.0,9.0,11.0,6.0
2025-06-20T13:07:58.777723,6.0,8.0,14.0,9.0,11.0,10.0,14.0,6.0
2025-06-20T13:07:59.778302,6.0,7.0,19.0,7.0,11.0,10.0,18.0,6.0
2025-06-20T13:08:00.781348,6.0,9.0,17.0,8.0,10.0,9.0,18.0,6.0
2025-06-20T13:08:01.782579,5.0,8.0,18.0,7.0,10.0,10.0,19.0,6.0
