timestamp,bt_navigator,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T15:48:37.703875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T15:48:38.710960,6.0,5.0,8.9,7.9,5.0,5.0,5.0,4.0
2025-06-20T15:48:39.713214,9.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0
2025-06-20T15:48:40.720253,9.9,8.9,9.9,12.9,9.9,9.9,10.0,7.0
2025-06-20T15:48:41.730347,6.9,5.0,6.9,9.9,7.9,6.9,5.9,4.0
2025-06-20T15:48:42.730912,6.0,4.0,7.0,8.0,6.0,7.0,5.0,3.0
2025-06-20T15:48:43.731621,6.0,4.0,7.0,9.0,5.0,8.0,5.0,3.0
2025-06-20T15:48:44.732679,32.0,7.0,8.0,11.0,9.0,11.0,11.0,7.0
2025-06-20T15:48:45.736293,11.0,5.0,8.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T15:48:46.737144,10.0,5.0,9.0,10.0,7.0,9.0,7.0,5.0
2025-06-20T15:48:47.737826,11.0,6.0,8.0,10.0,7.0,9.0,9.0,5.0
2025-06-20T15:48:48.739763,10.0,5.0,8.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T15:48:49.740904,11.0,5.0,8.0,9.0,7.0,10.0,8.0,5.0
2025-06-20T15:48:50.741582,11.0,6.0,9.0,10.0,8.0,9.0,8.0,6.0
2025-06-20T15:48:51.742237,9.0,5.0,8.0,10.0,7.0,10.0,8.0,5.0
2025-06-20T15:48:52.743008,11.0,5.0,8.0,10.0,7.0,8.0,9.0,4.0
2025-06-20T15:48:53.745411,10.0,5.0,8.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T15:48:54.746059,11.0,6.0,9.0,11.0,7.0,8.0,8.0,5.0
2025-06-20T15:48:55.747248,11.0,5.0,8.0,9.0,7.0,10.0,8.0,6.0
2025-06-20T15:48:56.747820,11.0,5.0,9.0,10.0,7.0,9.0,9.0,5.0
2025-06-20T15:48:57.749068,10.0,6.0,9.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T15:48:58.749585,10.0,5.0,8.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T15:48:59.750097,10.0,5.0,9.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T15:49:00.752107,11.0,5.0,8.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T15:49:01.753523,11.0,5.0,8.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T15:49:02.755043,11.0,6.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T15:49:03.755666,10.0,6.0,7.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T15:49:04.756982,10.0,4.0,9.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T15:49:05.758603,11.0,6.0,7.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T15:49:06.760857,18.0,5.0,8.0,21.0,7.0,10.0,9.0,5.0
2025-06-20T15:49:07.761949,17.0,4.0,8.0,20.0,7.0,10.0,9.0,6.0
2025-06-20T15:49:08.762782,18.0,6.0,8.0,22.0,7.0,10.0,9.0,6.0
2025-06-20T15:49:09.764076,19.0,5.0,7.0,21.0,7.0,10.0,9.0,6.0
2025-06-20T15:49:10.764861,18.0,6.0,7.0,21.0,8.0,10.0,10.0,6.0
2025-06-20T15:49:11.767084,18.0,4.0,8.0,20.9,6.0,10.0,9.0,5.0
2025-06-20T15:49:12.767807,18.0,6.0,8.0,21.0,8.0,10.0,9.0,6.0
2025-06-20T15:49:13.768355,18.0,5.0,8.0,20.0,7.0,10.0,9.0,5.0
2025-06-20T15:49:14.769334,18.0,5.0,8.0,21.0,7.0,10.0,9.0,6.0
2025-06-20T15:49:15.770749,18.0,4.0,7.0,21.0,8.0,10.0,9.0,6.0
2025-06-20T15:49:16.771332,18.0,5.0,7.0,20.0,6.0,9.0,9.0,5.0
2025-06-20T15:49:17.773001,18.0,6.0,8.0,21.0,7.0,11.0,10.0,6.0
2025-06-20T15:49:18.775614,18.0,5.0,8.0,19.9,7.0,9.0,9.0,6.0
2025-06-20T15:49:19.776342,17.0,4.0,6.0,21.0,7.0,9.0,8.0,6.0
2025-06-20T15:49:20.778566,17.0,5.0,9.0,20.0,6.0,10.0,9.0,5.0
2025-06-20T15:49:21.779126,18.0,5.0,6.0,22.0,7.0,9.0,8.0,6.0
2025-06-20T15:49:22.779726,18.0,5.0,8.0,20.0,7.0,9.0,9.0,6.0
2025-06-20T15:49:23.781190,18.0,5.0,8.0,21.0,7.0,10.0,10.0,5.0
2025-06-20T15:49:24.783010,17.0,5.0,8.0,21.0,7.0,11.0,9.0,6.0
2025-06-20T15:49:25.784567,19.0,5.0,7.0,20.0,7.0,9.0,9.0,5.0
2025-06-20T15:49:26.784973,17.0,5.0,7.0,21.0,7.0,10.0,8.0,6.0
2025-06-20T15:49:27.785643,18.0,5.0,8.0,21.0,6.0,10.0,10.0,6.0
