timestamp,bt_navigator,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T18:48:49.983260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T18:48:50.983667,7.0,6.0,6.0,8.0,9.0,5.0,8.0,7.0
2025-06-20T18:48:51.984175,10.0,10.0,8.0,11.0,9.0,12.0,8.0,7.0
2025-06-20T18:48:52.985423,7.0,6.0,10.0,11.0,8.0,11.0,8.0,7.0
2025-06-20T18:48:53.986167,8.0,9.0,9.0,15.0,10.0,11.0,9.0,7.0
2025-06-20T18:48:54.989458,9.0,8.0,9.0,18.9,9.0,10.0,9.0,8.0
2025-06-20T18:48:55.993115,10.0,10.0,9.0,10.0,8.0,7.0,5.0,5.0
2025-06-20T18:48:56.993596,6.0,5.0,7.0,9.0,6.0,6.0,6.0,4.0
2025-06-20T18:48:57.994170,6.0,4.0,8.0,9.0,6.0,6.0,5.0,4.0
2025-06-20T18:48:58.994622,6.0,5.0,7.0,9.0,6.0,5.0,5.0,2.0
2025-06-20T18:48:59.995301,5.0,4.0,8.0,9.0,5.0,6.0,5.0,3.0
2025-06-20T18:49:00.996269,6.0,3.0,7.0,9.0,5.0,5.0,4.0,2.0
2025-06-20T18:49:01.996845,5.0,3.0,6.0,7.0,5.0,6.0,4.0,3.0
2025-06-20T18:49:02.997838,14.0,6.0,8.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T18:49:03.999464,22.0,6.0,9.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:49:05.000463,10.0,6.0,7.0,10.0,7.0,10.0,8.0,5.0
2025-06-20T18:49:06.001193,12.0,5.0,9.0,10.0,7.0,9.0,8.0,6.0
2025-06-20T18:49:07.002070,10.0,6.0,7.0,10.0,7.0,9.0,9.0,6.0
2025-06-20T18:49:08.003451,11.0,5.0,9.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:49:09.005752,11.0,6.0,8.0,10.0,8.0,10.0,8.0,6.0
2025-06-20T18:49:10.006356,10.0,5.0,8.0,10.0,6.0,9.0,8.0,5.0
2025-06-20T18:49:11.006948,10.0,5.0,8.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T18:49:12.007514,12.0,6.0,9.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T18:49:13.008933,11.0,6.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:14.009440,10.0,5.0,9.0,11.0,8.0,10.0,11.0,5.0
2025-06-20T18:49:15.009942,11.0,5.0,9.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:49:16.012262,11.0,6.0,8.0,10.0,8.0,9.0,10.0,5.0
2025-06-20T18:49:17.014004,10.0,5.0,9.0,10.0,6.0,10.0,9.0,5.0
2025-06-20T18:49:18.014599,10.0,6.0,8.0,12.0,9.0,11.0,10.0,6.0
2025-06-20T18:49:19.015163,11.0,5.0,8.0,10.0,6.0,9.0,10.0,6.0
2025-06-20T18:49:20.016141,10.0,5.0,8.0,10.0,8.0,9.0,9.0,4.0
2025-06-20T18:49:21.017888,10.0,5.0,8.0,9.0,7.0,10.0,9.0,5.0
2025-06-20T18:49:22.018626,10.0,6.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:23.019994,10.0,5.0,8.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T18:49:24.021037,11.0,6.0,8.0,10.0,8.0,9.0,9.0,6.0
2025-06-20T18:49:25.022391,10.0,6.0,8.0,11.0,7.0,11.0,11.0,5.0
2025-06-20T18:49:26.023249,14.0,5.0,8.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:49:27.025408,18.0,5.0,8.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:49:28.027112,18.0,6.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:29.028524,18.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:30.029607,19.0,6.0,9.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:31.031839,18.0,5.0,7.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T18:49:32.033364,18.0,5.0,8.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T18:49:33.036216,17.0,6.0,8.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:34.037244,18.0,5.0,8.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:49:35.038444,19.0,5.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:36.040977,17.0,5.0,7.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T18:49:37.041898,18.0,6.0,8.0,11.0,6.0,10.0,9.0,5.0
2025-06-20T18:49:38.045334,17.9,5.0,8.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T18:49:39.046491,18.0,5.0,7.0,12.0,8.0,11.0,10.0,5.0
2025-06-20T18:49:40.047005,18.0,6.0,8.0,11.0,8.0,9.0,10.0,6.0
2025-06-20T18:49:41.047948,18.0,5.0,8.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:49:42.048886,18.0,5.0,9.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:43.050336,18.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:44.050908,19.0,6.0,9.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:49:45.051498,18.0,5.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:46.051994,17.0,5.0,8.0,12.0,7.0,9.0,9.0,5.0
2025-06-20T18:49:47.052484,18.0,6.0,7.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:49:48.053821,18.0,4.0,8.0,12.0,8.0,10.0,9.0,7.0
2025-06-20T18:49:49.055120,18.0,6.0,8.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:49:50.055645,17.0,5.0,8.0,11.0,6.0,11.0,9.0,6.0
2025-06-20T18:49:51.056533,18.0,5.0,7.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:49:52.057270,19.0,6.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:53.059464,17.0,5.0,8.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:54.060669,18.0,5.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:49:55.061752,17.0,6.0,8.0,12.0,8.0,10.0,9.0,5.0
2025-06-20T18:49:56.062300,18.0,5.0,8.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T18:49:57.063063,18.0,6.0,8.0,12.0,8.0,11.0,8.0,6.0
2025-06-20T18:49:58.063624,18.0,5.0,8.0,10.0,7.0,9.0,10.0,6.0
2025-06-20T18:49:59.064345,17.0,4.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:00.064829,19.0,7.0,9.0,12.0,6.0,11.0,10.0,6.0
2025-06-20T18:50:01.065574,17.0,4.0,8.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T18:50:02.067008,18.0,5.0,7.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T18:50:03.067885,17.0,6.0,9.0,11.0,9.0,11.0,9.0,5.0
2025-06-20T18:50:04.069149,18.0,5.0,8.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T18:50:05.070339,17.0,5.0,8.0,12.0,7.0,9.0,9.0,6.0
2025-06-20T18:50:06.071029,19.0,6.0,9.0,11.0,7.0,10.0,11.0,5.0
2025-06-20T18:50:07.073277,18.0,6.0,7.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:50:08.074176,18.0,5.0,9.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T18:50:09.075473,17.0,5.0,7.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:10.077401,18.0,5.0,10.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:50:11.081151,17.9,6.0,7.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:12.082650,17.0,5.0,9.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T18:50:13.083515,19.0,5.0,8.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T18:50:14.084393,17.0,5.0,7.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T18:50:15.085128,17.0,6.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:16.086293,18.0,5.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:17.086858,18.0,5.0,8.0,11.0,7.0,9.0,10.0,6.0
2025-06-20T18:50:18.087652,17.0,6.0,8.0,12.0,8.0,12.0,9.0,6.0
2025-06-20T18:50:19.088265,19.0,5.0,7.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:20.089578,17.0,5.0,8.0,11.0,7.0,9.0,8.0,6.0
2025-06-20T18:50:21.090532,18.0,6.0,8.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T18:50:22.092266,17.0,5.0,8.0,12.0,8.0,9.0,10.0,5.0
2025-06-20T18:50:23.094194,18.0,5.0,8.0,11.0,6.0,10.0,9.0,6.0
2025-06-20T18:50:24.098156,17.9,6.0,9.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T18:50:25.098870,17.0,5.0,8.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T18:50:26.099388,18.0,5.0,7.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T18:50:27.099844,17.0,6.0,8.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T18:50:28.100394,18.0,5.0,8.0,12.0,8.0,10.0,10.0,5.0
2025-06-20T18:50:29.101745,17.0,5.0,8.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:30.103067,18.0,6.0,8.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T18:50:31.103900,18.0,5.0,8.0,12.0,7.0,10.0,10.0,7.0
2025-06-20T18:50:32.104499,17.0,6.0,8.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:33.105075,18.0,5.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:34.105656,18.0,6.0,7.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T18:50:35.106228,17.0,4.0,8.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:36.107127,17.0,6.0,8.0,12.0,6.0,9.0,9.0,6.0
2025-06-20T18:50:37.108272,18.0,5.0,8.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T18:50:38.109341,17.0,5.0,8.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T18:50:39.111183,18.0,5.0,7.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T18:50:40.112533,17.0,5.0,8.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T18:50:41.113497,18.0,6.0,8.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:42.114276,15.0,5.0,9.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T18:50:43.114729,17.0,5.0,8.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T18:50:44.115570,18.0,6.0,7.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T18:50:45.116131,15.0,5.0,8.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T18:50:46.117502,17.0,5.0,8.0,11.0,7.0,11.0,10.0,6.0
