timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T19:22:14.781292,0.0,0.0,0.0,0.0,0.0,0.0,862.7,0.0
2025-06-20T19:22:15.786792,7.0,8.0,4.0,8.0,5.9,5.9,6.9,4.9
2025-06-20T19:22:16.807471,9.8,8.8,9.8,10.8,11.8,8.9,9.9,9.9
2025-06-20T19:22:17.820758,5.9,8.9,7.9,8.9,6.9,7.9,9.9,6.9
2025-06-20T19:22:18.821612,9.0,8.0,5.0,10.0,7.0,6.0,4.0,3.0
2025-06-20T19:22:19.822147,6.0,7.0,3.0,9.0,6.0,6.0,5.0,3.0
2025-06-20T19:22:20.823010,6.0,7.0,5.0,9.0,5.0,8.0,5.0,2.0
2025-06-20T19:22:21.823656,27.0,8.0,6.0,11.0,8.0,12.0,11.0,8.0
2025-06-20T19:22:22.825086,10.0,9.0,6.0,11.0,8.0,10.0,8.0,6.0
2025-06-20T19:22:23.825605,11.0,7.0,6.0,11.0,8.0,9.0,10.0,5.0
2025-06-20T19:22:24.826067,11.0,8.0,5.0,10.0,7.0,9.0,7.0,6.0
2025-06-20T19:22:25.826580,10.0,9.0,5.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T19:22:26.827944,12.0,8.0,6.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T19:22:27.829694,9.0,7.0,4.0,10.0,7.0,10.0,8.0,6.0
2025-06-20T19:22:28.830172,11.0,10.0,6.0,11.0,8.0,9.0,9.0,5.0
2025-06-20T19:22:29.830651,11.0,8.0,6.0,10.0,7.0,9.0,8.0,6.0
2025-06-20T19:22:30.831167,10.0,7.0,4.0,9.0,7.0,10.0,8.0,5.0
2025-06-20T19:22:31.832565,11.0,9.0,6.0,12.0,7.0,9.0,9.0,5.0
2025-06-20T19:22:32.833156,11.0,9.0,5.0,10.0,8.0,10.0,8.0,6.0
2025-06-20T19:22:33.833627,10.0,9.0,6.0,10.0,7.0,9.0,8.0,5.0
2025-06-20T19:22:34.834135,11.0,9.0,6.0,11.0,7.0,11.0,11.0,5.0
2025-06-20T19:22:35.834605,11.0,7.0,5.0,10.0,8.0,9.0,8.0,6.0
2025-06-20T19:22:36.835065,9.0,8.0,5.0,9.0,7.0,9.0,9.0,5.0
2025-06-20T19:22:37.835544,10.0,9.0,5.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T19:22:38.836826,10.0,8.0,6.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:22:39.839426,11.0,8.0,5.0,10.0,7.0,9.0,10.0,5.0
2025-06-20T19:22:40.840645,10.0,8.0,6.0,10.0,8.0,11.0,10.0,5.0
2025-06-20T19:22:41.841314,11.0,8.0,5.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T19:22:42.842374,11.0,9.0,6.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:22:43.845575,10.0,7.0,4.0,10.0,8.0,10.0,9.0,5.0
2025-06-20T19:22:44.846406,10.0,9.0,7.0,11.0,7.0,10.0,11.0,5.0
2025-06-20T19:22:45.848232,17.0,7.0,5.0,12.0,8.0,11.0,9.0,6.0
2025-06-20T19:22:46.849900,18.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:22:47.851071,18.0,8.0,6.0,12.0,8.0,11.0,10.0,6.0
