timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-20T15:15:48.694680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T15:15:49.695392,6.0,7.0,10.0,5.0,5.0,5.0,6.0,5.0
2025-06-20T15:15:50.711617,8.9,9.9,8.9,9.8,11.7,9.8,10.8,7.8
2025-06-20T15:15:51.723101,9.9,11.9,10.9,9.0,13.0,11.0,13.0,7.0
2025-06-20T15:15:52.723842,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0
2025-06-20T15:15:53.724542,7.0,7.0,13.0,7.0,7.0,5.0,7.0,6.0
2025-06-20T15:15:54.725091,5.0,7.0,12.0,5.0,6.0,6.0,6.0,4.0
2025-06-20T15:15:55.725939,3.0,6.0,8.0,6.0,5.0,5.0,6.0,2.0
2025-06-20T15:15:56.726465,3.0,8.0,8.0,5.0,6.0,3.0,5.0,2.0
2025-06-20T15:15:57.729382,4.0,7.0,10.0,6.0,9.0,7.0,6.0,3.0
2025-06-20T15:15:58.731112,7.0,9.0,10.0,9.0,12.0,9.0,28.9,7.0
2025-06-20T15:15:59.732603,5.0,7.0,11.0,6.0,8.0,9.0,10.0,6.0
2025-06-20T15:16:00.733546,4.0,8.0,10.0,7.0,9.0,8.0,11.0,4.0
2025-06-20T15:16:01.734446,6.0,8.0,9.0,8.0,10.0,8.0,10.0,6.0
2025-06-20T15:16:02.735791,5.0,8.0,11.0,6.0,10.0,8.0,10.0,5.0
2025-06-20T15:16:03.736995,5.0,7.0,9.0,7.0,8.0,8.0,11.0,5.0
2025-06-20T15:16:04.738501,6.0,9.0,11.0,7.0,9.0,9.0,10.0,5.0
2025-06-20T15:16:05.739388,4.0,8.0,9.0,7.0,10.0,8.0,11.0,6.0
2025-06-20T15:16:06.739983,5.0,7.0,10.0,7.0,9.0,9.0,10.0,4.0
2025-06-20T15:16:07.740744,6.0,9.0,11.0,8.0,9.0,8.0,11.0,6.0
2025-06-20T15:16:08.741200,4.0,8.0,10.0,6.0,9.0,8.0,10.0,5.0
2025-06-20T15:16:09.741670,5.0,9.0,9.0,8.0,10.0,9.0,11.0,5.0
2025-06-20T15:16:10.744010,6.0,8.0,11.0,7.0,11.0,9.0,10.0,5.0
2025-06-20T15:16:11.746850,4.0,9.0,11.0,8.0,9.0,10.0,10.0,5.0
2025-06-20T15:16:12.747965,5.0,8.0,10.0,7.0,10.0,9.0,11.0,5.0
2025-06-20T15:16:13.748567,5.0,7.0,10.0,7.0,11.0,10.0,10.0,6.0
2025-06-20T15:16:14.749894,6.0,8.0,10.0,8.0,9.0,9.0,10.0,5.0
2025-06-20T15:16:15.750837,5.0,9.0,11.0,7.0,10.0,10.0,11.0,5.0
2025-06-20T15:16:16.752858,5.0,8.0,10.0,8.0,10.0,9.0,11.0,5.0
2025-06-20T15:16:17.754322,5.0,8.0,11.0,6.0,10.0,10.0,10.0,6.0
2025-06-20T15:16:18.756649,5.0,7.0,10.0,8.0,10.0,9.0,10.0,5.0
2025-06-20T15:16:19.757962,6.0,8.0,13.0,8.0,11.0,10.0,13.0,5.0
2025-06-20T15:16:20.758504,4.0,7.0,21.0,6.0,10.0,10.0,17.0,6.0
2025-06-20T15:16:21.759085,6.0,7.0,21.0,7.0,10.0,8.0,18.0,5.0
2025-06-20T15:16:22.760368,5.0,8.0,21.0,8.0,9.0,10.0,18.0,6.0
2025-06-20T15:16:23.761004,5.0,7.0,21.0,6.0,11.0,8.0,18.0,5.0
2025-06-20T15:16:24.761776,5.0,9.0,21.0,8.0,9.0,9.0,18.0,6.0
2025-06-20T15:16:25.762554,5.0,7.0,20.0,7.0,11.0,10.0,18.0,5.0
2025-06-20T15:16:26.763060,4.0,7.0,22.0,6.0,9.0,9.0,17.0,6.0
2025-06-20T15:16:27.763887,6.0,7.0,19.0,8.0,10.0,9.0,18.0,6.0
2025-06-20T15:16:28.764526,4.0,8.0,22.0,7.0,10.0,9.0,18.0,5.0
2025-06-20T15:16:29.766324,6.0,7.0,20.0,7.0,9.0,9.0,18.0,6.0
2025-06-20T15:16:30.766916,4.0,8.0,21.0,8.0,10.0,9.0,18.0,5.0
