timestamp,bt_navigator,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T16:56:15.987255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T16:56:16.988355,6.0,4.0,5.0,8.0,5.0,4.0,5.0,4.0
2025-06-20T16:56:17.999804,9.9,9.9,8.9,10.9,11.9,8.9,11.9,7.9
2025-06-20T16:56:19.002346,9.0,8.0,10.9,12.9,9.9,10.9,9.9,6.0
2025-06-20T16:56:20.011680,11.9,7.9,9.9,10.9,10.0,12.0,9.0,8.0
2025-06-20T16:56:21.012809,9.0,9.0,8.0,14.0,8.0,8.0,7.0,8.0
2025-06-20T16:56:22.013622,7.0,5.0,10.0,8.0,6.0,8.0,8.0,4.0
2025-06-20T16:56:23.014197,5.0,5.0,6.0,9.0,5.0,5.0,5.0,4.0
2025-06-20T16:56:24.014900,6.0,4.0,9.0,9.0,6.0,5.0,4.0,2.0
2025-06-20T16:56:25.015501,6.0,3.0,7.0,9.0,5.0,5.0,5.0,2.0
2025-06-20T16:56:26.015999,6.0,4.0,6.0,8.0,6.0,6.0,4.0,2.0
2025-06-20T16:56:27.016517,6.0,3.0,6.0,9.0,6.0,9.0,6.0,2.0
2025-06-20T16:56:28.018397,26.9,7.0,9.0,11.0,8.0,11.0,10.0,8.0
2025-06-20T16:56:29.019034,11.0,6.0,9.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T16:56:30.019524,10.0,5.0,7.0,10.0,7.0,9.0,8.0,5.0
2025-06-20T16:56:31.020080,11.0,5.0,8.0,10.0,6.0,10.0,9.0,5.0
2025-06-20T16:56:32.020899,10.0,5.0,8.0,10.0,8.0,9.0,8.0,6.0
2025-06-20T16:56:33.021406,11.0,6.0,8.0,11.0,7.0,9.0,9.0,4.0
2025-06-20T16:56:34.022163,10.0,5.0,8.0,10.0,8.0,10.0,7.0,6.0
2025-06-20T16:56:35.022713,9.0,5.0,8.0,9.0,6.0,8.0,9.0,4.0
