timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:22:14.868103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06T16:22:15.875773,6.9,5.0,8.9,5.9,7.9,9.9,5.0,4.0
2025-06-06T16:22:16.885552,10.9,10.8,12.8,6.9,12.8,8.9,8.9,9.8
2025-06-06T16:22:17.902686,9.8,9.9,10.8,9.9,5.9,9.9,7.9,7.9
2025-06-06T16:22:18.915614,8.9,9.9,13.9,8.9,7.9,7.9,10.9,7.0
2025-06-06T16:22:19.926958,6.9,4.0,9.9,5.9,5.9,4.9,4.9,4.9
2025-06-06T16:22:20.929638,8.0,4.0,9.0,6.0,6.0,5.0,7.0,2.0
2025-06-06T16:22:21.930278,7.0,5.0,9.0,5.0,7.0,5.0,6.0,3.0
2025-06-06T16:22:22.932001,8.0,6.0,12.0,9.0,12.0,10.0,26.0,6.0
2025-06-06T16:22:23.932833,8.0,7.0,12.0,7.0,11.0,9.0,12.0,7.0
2025-06-06T16:22:24.933319,8.0,5.0,11.0,7.0,10.0,10.0,11.0,6.0
2025-06-06T16:22:25.933782,8.0,5.0,11.0,8.0,10.0,8.0,11.0,5.0
2025-06-06T16:22:26.934302,9.0,6.0,12.0,7.0,10.0,9.0,11.0,6.0
2025-06-06T16:22:27.936037,7.0,6.0,10.0,8.0,9.0,8.0,10.0,5.0
2025-06-06T16:22:28.937944,8.0,6.0,11.0,6.0,9.0,8.0,10.0,5.0
2025-06-06T16:22:29.941184,7.0,4.0,10.0,7.0,10.0,9.0,11.0,6.0
2025-06-06T16:22:30.941911,9.0,7.0,11.0,7.0,9.0,8.0,10.0,6.0
2025-06-06T16:22:31.942581,8.0,5.0,10.0,8.0,10.0,8.0,11.0,5.0
2025-06-06T16:22:32.943829,9.0,6.0,12.0,7.0,10.0,9.0,10.0,6.0
2025-06-06T16:22:33.945729,8.0,5.0,11.0,7.0,9.0,9.0,12.0,6.0
2025-06-06T16:22:34.948218,9.0,6.0,11.0,8.0,10.0,9.0,10.0,5.0
2025-06-06T16:22:35.948713,9.0,6.0,11.0,7.0,11.0,10.0,11.0,6.0
2025-06-06T16:22:36.949362,9.0,6.0,13.0,8.0,10.0,10.0,11.0,6.0
2025-06-06T16:22:37.949868,8.0,5.0,11.0,7.0,11.0,9.0,11.0,5.0
2025-06-06T16:22:38.951045,9.0,6.0,11.0,9.0,11.0,11.0,10.0,6.0
2025-06-06T16:22:39.952986,8.0,5.0,11.0,7.0,9.0,9.0,10.0,6.0
2025-06-06T16:22:40.953507,9.0,6.0,11.0,7.0,11.0,10.0,11.0,5.0
2025-06-06T16:22:41.954385,8.0,5.0,12.0,9.0,10.0,10.0,11.0,5.0
2025-06-06T16:22:42.955272,9.0,6.0,12.0,7.0,11.0,10.0,11.0,6.0
2025-06-06T16:22:43.957157,8.0,5.0,11.0,7.0,10.0,10.0,10.0,6.0
2025-06-06T16:22:44.958763,8.0,7.0,11.0,9.0,11.0,10.0,11.0,6.0
2025-06-06T16:22:45.959330,9.0,5.0,12.0,8.0,10.0,9.0,11.0,5.0
2025-06-06T16:22:46.961053,7.0,6.0,16.0,7.0,12.0,11.0,15.9,6.0
2025-06-06T16:22:47.963755,9.0,6.0,18.9,7.0,11.0,10.0,19.0,7.0
2025-06-06T16:22:48.965937,7.0,5.0,19.0,8.0,11.0,9.0,18.0,6.0
2025-06-06T16:22:49.968136,8.0,6.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:22:50.969943,8.0,6.0,19.0,9.0,10.0,9.0,18.0,6.0
2025-06-06T16:22:51.971464,8.0,5.0,18.0,6.0,11.0,10.0,17.0,6.0
2025-06-06T16:22:52.972319,8.0,5.0,19.0,8.0,11.0,10.0,17.0,6.0
2025-06-06T16:22:53.973431,8.0,7.0,18.0,8.0,10.0,10.0,19.0,6.0
2025-06-06T16:22:54.975261,9.0,5.0,19.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:22:55.975878,7.0,5.0,18.0,8.0,12.0,10.0,18.0,6.0
2025-06-06T16:22:56.977256,8.0,5.0,19.0,7.0,9.0,9.0,17.0,6.0
2025-06-06T16:22:57.978221,9.0,6.0,19.0,7.0,11.0,10.0,18.0,6.0
2025-06-06T16:22:58.980702,7.0,6.0,18.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:22:59.981186,9.0,5.0,19.0,7.0,10.0,10.0,18.0,7.0
2025-06-06T16:23:00.982617,8.0,7.0,18.0,8.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:01.983191,8.0,5.0,19.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:23:02.983696,9.0,5.0,20.0,8.0,11.0,10.0,18.0,7.0
2025-06-06T16:23:03.985033,7.0,6.0,18.0,7.0,10.0,10.0,17.0,5.0
2025-06-06T16:23:04.985752,9.0,5.0,19.0,8.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:05.986359,8.0,6.0,18.0,7.0,10.0,9.0,17.0,7.0
2025-06-06T16:23:06.987991,8.0,6.0,20.0,7.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:07.990814,9.0,5.0,18.0,8.0,11.0,10.0,17.9,6.0
2025-06-06T16:23:08.991495,7.0,6.0,18.0,7.0,10.0,10.0,18.0,6.0
2025-06-06T16:23:09.993427,10.0,6.0,19.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:23:10.994759,8.0,5.0,19.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:23:11.995385,8.0,5.0,18.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:23:12.997161,9.0,6.0,19.0,7.0,10.0,10.0,18.0,7.0
2025-06-06T16:23:13.998088,7.0,5.0,19.0,8.0,12.0,10.0,18.0,5.0
2025-06-06T16:23:15.000094,10.0,6.0,19.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:23:16.001045,7.0,5.0,19.0,7.0,11.0,10.0,18.0,7.0
2025-06-06T16:23:17.002373,9.0,6.0,18.0,7.0,10.0,10.0,17.0,5.0
2025-06-06T16:23:18.003125,8.0,6.0,19.0,8.0,10.0,9.0,18.0,6.0
2025-06-06T16:23:19.004594,9.0,5.0,19.0,7.0,11.0,10.0,17.0,7.0
2025-06-06T16:23:20.005592,8.0,6.0,18.0,8.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:21.007232,8.0,6.0,20.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:23:22.007688,9.0,6.0,18.0,8.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:23.008615,8.0,4.0,19.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:24.010365,9.0,6.0,18.0,8.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:25.011207,7.0,6.0,19.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:23:26.012003,8.0,5.0,20.0,8.0,11.0,10.0,17.0,7.0
2025-06-06T16:23:27.013184,9.0,6.0,18.0,7.0,10.0,10.0,18.0,6.0
2025-06-06T16:23:28.015436,8.0,6.0,18.0,8.0,10.0,9.0,17.0,5.0
2025-06-06T16:23:29.018212,9.0,5.0,18.0,7.0,11.0,9.0,17.0,7.0
2025-06-06T16:23:30.019820,7.0,5.0,19.0,8.0,10.0,11.0,18.0,6.0
2025-06-06T16:23:31.020475,9.0,6.0,20.0,7.0,12.0,9.0,18.0,6.0
2025-06-06T16:23:32.021242,8.0,6.0,18.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:23:33.023429,8.0,5.0,19.0,8.0,12.0,10.0,18.0,7.0
2025-06-06T16:23:34.024889,9.0,6.0,18.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:23:35.025507,7.0,5.0,18.9,7.0,10.0,10.0,17.9,6.0
2025-06-06T16:23:36.030666,9.0,6.0,19.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:37.036563,8.0,6.0,17.9,8.0,9.9,8.9,17.9,5.0
2025-06-06T16:23:38.037207,8.0,5.0,18.0,8.0,10.0,10.0,16.0,7.0
2025-06-06T16:23:39.037768,8.0,5.0,19.0,7.0,11.0,10.0,18.0,6.0
2025-06-06T16:23:40.038766,8.0,7.0,19.0,7.0,11.0,10.0,18.0,5.0
2025-06-06T16:23:41.041194,9.0,5.0,17.9,7.0,9.0,8.0,17.0,6.0
2025-06-06T16:23:42.043520,7.0,5.0,18.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:43.044093,7.0,5.0,19.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:23:44.045010,9.0,6.0,19.0,7.0,10.0,9.0,18.0,6.0
2025-06-06T16:23:45.045628,7.0,6.0,17.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:23:46.046297,9.0,5.0,20.0,8.0,11.0,10.0,18.0,7.0
2025-06-06T16:23:47.046712,8.0,6.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:23:48.047695,8.0,6.0,20.0,8.0,11.0,9.0,18.0,6.0
2025-06-06T16:23:49.049140,9.0,5.0,18.0,7.0,11.0,11.0,17.0,6.0
2025-06-06T16:23:50.052608,8.0,6.0,19.9,7.9,9.9,8.9,16.9,6.0
2025-06-06T16:23:51.057248,8.0,5.0,18.0,8.0,10.0,10.0,18.0,6.0
2025-06-06T16:23:52.057784,8.0,5.0,19.0,7.0,12.0,9.0,17.0,7.0
2025-06-06T16:23:53.058357,9.0,6.0,18.0,8.0,10.0,10.0,17.0,6.0
2025-06-06T16:23:54.058854,8.0,6.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:23:55.059367,8.0,6.0,19.0,8.0,11.0,9.0,18.0,5.0
2025-06-06T16:23:56.060938,8.0,5.0,18.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:57.061538,8.0,6.0,20.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:23:58.062104,8.0,5.0,18.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:23:59.062880,8.0,6.0,19.0,7.0,10.0,9.0,17.0,7.0
2025-06-06T16:24:00.063686,8.0,5.0,19.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:24:01.064320,8.0,6.0,18.0,8.0,11.0,11.0,16.0,6.0
