timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-10T16:32:44.230909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-10T16:32:45.236050,5.0,12.9,6.0,5.0,5.0,6.0,6.0,5.0
2025-06-10T16:32:46.244467,9.9,9.9,11.9,9.9,11.9,7.9,10.9,8.9
2025-06-10T16:32:47.247401,9.0,10.0,11.0,8.0,8.9,10.9,9.9,8.9
2025-06-10T16:32:48.260065,7.9,9.9,14.8,10.9,11.9,7.9,9.9,7.9
2025-06-10T16:32:49.264145,10.0,10.0,13.0,10.0,13.9,11.0,12.0,7.0
2025-06-10T16:32:50.266279,5.0,8.0,9.0,5.0,5.0,4.0,6.0,3.0
2025-06-10T16:32:51.266842,5.0,7.0,11.0,7.0,5.0,6.0,6.0,4.0
2025-06-10T16:32:52.267916,4.0,8.0,8.0,6.0,7.0,4.0,7.0,2.0
2025-06-10T16:32:53.268494,3.0,6.0,10.0,6.0,9.0,7.0,6.0,3.0
2025-06-10T16:32:54.269908,7.0,10.0,11.0,8.0,12.0,10.0,28.0,7.0
2025-06-10T16:32:55.272380,6.0,8.0,11.0,8.0,10.0,9.0,12.0,6.0
2025-06-10T16:32:56.273167,5.0,9.0,11.0,8.0,10.0,9.0,10.0,6.0
2025-06-10T16:32:57.274310,6.0,8.0,11.0,7.0,9.0,9.0,11.0,5.0
2025-06-10T16:32:58.274847,5.0,8.0,10.0,7.0,10.0,8.0,11.0,5.0
2025-06-10T16:32:59.275334,6.0,8.0,11.0,8.0,10.0,9.0,12.0,6.0
2025-06-10T16:33:00.275906,5.0,10.0,10.0,7.0,9.0,8.0,11.0,5.0
2025-06-10T16:33:01.276406,6.0,7.0,10.0,7.0,10.0,9.0,11.0,6.0
2025-06-10T16:33:02.276819,5.0,9.0,11.0,8.0,9.0,9.0,11.0,6.0
2025-06-10T16:33:03.278300,5.0,9.0,11.0,7.0,10.0,8.0,11.0,5.0
2025-06-10T16:33:04.280378,6.0,9.0,10.0,8.0,10.0,10.0,11.0,6.0
2025-06-10T16:33:05.280915,6.0,9.0,10.0,7.0,10.0,8.0,11.0,5.0
2025-06-10T16:33:06.281546,5.0,8.0,11.0,8.0,10.0,11.0,11.0,5.0
2025-06-10T16:33:07.282171,6.0,10.0,11.0,8.0,11.0,9.0,11.0,6.0
2025-06-10T16:33:08.283271,4.0,8.0,11.0,7.0,10.0,10.0,11.0,5.0
2025-06-10T16:33:09.283833,6.0,9.0,11.0,8.0,10.0,10.0,10.0,6.0
2025-06-10T16:33:10.285173,5.0,9.0,11.0,8.0,10.0,11.0,12.0,6.0
2025-06-10T16:33:11.285722,6.0,8.0,10.0,8.0,11.0,10.0,10.0,5.0
2025-06-10T16:33:12.286265,6.0,9.0,11.0,8.0,11.0,10.0,11.0,6.0
2025-06-10T16:33:13.286895,5.0,8.0,11.0,7.0,10.0,10.0,11.0,5.0
2025-06-10T16:33:14.288733,6.0,7.0,11.0,8.0,10.0,9.0,11.0,6.0
2025-06-10T16:33:15.289352,5.0,8.0,17.0,8.0,10.0,10.0,18.0,6.0
2025-06-10T16:33:16.291516,6.0,9.0,20.0,7.0,12.0,10.0,19.0,5.0
2025-06-10T16:33:17.292196,5.0,8.0,18.0,7.0,9.0,10.0,18.0,6.0
2025-06-10T16:33:18.293908,6.0,8.0,19.0,9.0,11.0,9.0,18.0,5.0
2025-06-10T16:33:19.294518,5.0,7.0,19.0,7.0,10.0,9.0,18.0,7.0
2025-06-10T16:33:20.295201,4.0,8.0,18.0,7.0,10.0,10.0,19.0,5.0
2025-06-10T16:33:21.295713,7.0,9.0,20.0,7.0,10.0,9.0,18.0,7.0
2025-06-10T16:33:22.296159,5.0,8.0,19.0,7.0,11.0,10.0,18.0,5.0
2025-06-10T16:33:23.296565,5.0,8.0,18.0,8.0,10.0,9.0,18.0,6.0
2025-06-10T16:33:24.300305,5.0,8.0,19.9,7.0,11.0,10.0,18.9,6.0
2025-06-10T16:33:25.300848,6.0,8.0,19.0,8.0,11.0,10.0,18.0,6.0
2025-06-10T16:33:26.301414,5.0,9.0,19.0,8.0,10.0,10.0,19.0,6.0
2025-06-10T16:33:27.302077,6.0,7.0,19.0,7.0,10.0,10.0,18.0,7.0
2025-06-10T16:33:28.302905,5.0,9.0,19.0,8.0,10.0,10.0,18.0,5.0
2025-06-10T16:33:29.305308,5.0,7.0,19.0,7.0,11.0,9.0,19.0,6.0
2025-06-10T16:33:30.306135,6.0,9.0,19.0,8.0,10.0,10.0,18.0,6.0
2025-06-10T16:33:31.307199,5.0,7.0,17.9,7.0,10.0,9.0,17.9,6.0
2025-06-10T16:33:32.312496,5.0,8.0,19.0,7.0,9.0,8.0,17.0,6.0
2025-06-10T16:33:33.313043,5.0,7.0,20.0,7.0,10.0,9.0,19.0,6.0
2025-06-10T16:33:34.313635,5.0,9.0,18.0,7.0,11.0,10.0,19.0,6.0
2025-06-10T16:33:35.315105,5.0,7.0,19.0,7.0,9.0,9.0,18.0,6.0
2025-06-10T16:33:36.316894,7.0,9.0,19.0,7.0,10.0,10.0,18.0,5.0
2025-06-10T16:33:37.317521,5.0,8.0,19.0,8.0,10.0,10.0,17.0,6.0
2025-06-10T16:33:38.319713,5.0,8.0,19.0,7.0,10.0,10.0,19.0,6.0
2025-06-10T16:33:39.320413,6.0,9.0,20.0,8.0,11.0,9.0,18.0,6.0
2025-06-10T16:33:40.322355,4.0,8.0,19.0,8.0,10.0,10.0,19.0,6.0
2025-06-10T16:33:41.322978,6.0,8.0,19.0,8.0,11.0,9.0,18.0,5.0
2025-06-10T16:33:42.325487,5.0,8.0,18.9,7.0,11.0,11.0,18.9,7.0
2025-06-10T16:33:43.326229,6.0,9.0,19.0,8.0,10.0,9.0,19.0,5.0
2025-06-10T16:33:44.327535,5.0,8.0,19.0,7.0,11.0,10.0,17.0,6.0
2025-06-10T16:33:45.328354,6.0,8.0,20.0,7.0,10.0,9.0,18.0,7.0
2025-06-10T16:33:46.329294,5.0,8.0,19.0,9.0,10.0,9.0,18.0,6.0
2025-06-10T16:33:47.330799,5.0,8.0,19.0,7.0,11.0,10.0,19.0,5.0
2025-06-10T16:33:48.331861,6.0,9.0,19.0,8.0,11.0,10.0,19.0,6.0
2025-06-10T16:33:49.333752,5.0,8.0,20.0,7.0,10.0,9.0,18.0,6.0
2025-06-10T16:33:50.334204,5.0,8.0,18.0,8.0,10.0,9.0,17.0,6.0
2025-06-10T16:33:51.336960,6.0,8.0,18.9,7.0,10.0,10.0,18.9,6.0
2025-06-10T16:33:52.337479,6.0,8.0,19.0,7.0,10.0,9.0,17.0,6.0
2025-06-10T16:33:53.338112,5.0,9.0,19.0,8.0,10.0,10.0,18.0,5.0
2025-06-10T16:33:54.339201,6.0,8.0,20.0,7.0,12.0,10.0,18.0,7.0
2025-06-10T16:33:55.339811,4.0,7.0,19.0,7.0,11.0,9.0,19.0,6.0
2025-06-10T16:33:56.343329,6.0,10.0,18.9,8.0,10.0,10.0,17.9,6.0
2025-06-10T16:33:57.343771,6.0,7.0,20.0,7.0,10.0,10.0,19.0,5.0
2025-06-10T16:33:58.344339,5.0,10.0,19.0,8.0,10.0,9.0,18.0,7.0
2025-06-10T16:33:59.344929,5.0,7.0,19.0,7.0,10.0,9.0,18.0,5.0
2025-06-10T16:34:00.347123,6.0,7.0,18.9,7.0,10.0,10.0,17.9,6.0
2025-06-10T16:34:01.348361,5.0,9.0,19.0,8.0,11.0,10.0,18.0,6.0
2025-06-10T16:34:02.349038,5.0,8.0,19.0,7.0,9.0,10.0,19.0,6.0
2025-06-10T16:34:03.349588,6.0,8.0,18.0,8.0,12.0,9.0,18.0,6.0
2025-06-10T16:34:04.352278,4.0,9.0,20.0,7.0,10.0,10.0,18.0,6.0
2025-06-10T16:34:05.354012,7.0,8.0,18.0,7.0,10.0,9.0,18.0,6.0
2025-06-10T16:34:06.357190,4.0,8.0,19.9,9.0,10.0,11.0,17.9,6.0
2025-06-10T16:34:07.357793,6.0,8.0,18.0,7.0,11.0,9.0,19.0,6.0
2025-06-10T16:34:08.359737,5.0,8.0,20.0,7.0,10.0,9.0,19.0,6.0
2025-06-10T16:34:09.361039,6.0,9.0,19.0,8.0,11.0,10.0,18.0,6.0
2025-06-10T16:34:10.363029,5.0,8.0,19.0,8.0,10.0,11.0,18.0,6.0
2025-06-10T16:34:11.363715,6.0,9.0,21.0,8.0,11.0,9.0,18.0,6.0
2025-06-10T16:34:12.364138,5.0,7.0,18.0,7.0,10.0,10.0,18.0,6.0
2025-06-10T16:34:13.364823,5.0,9.0,19.0,8.0,10.0,9.0,18.0,6.0
