timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-11T15:19:12.379938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11T15:19:13.400200,7.8,8.8,8.8,6.9,3.9,4.9,4.9,3.9
2025-06-11T15:19:14.401239,11.0,10.0,11.0,11.0,11.0,9.0,10.0,8.0
2025-06-11T15:19:15.402548,8.0,10.0,10.0,8.0,14.0,7.0,8.0,6.0
2025-06-11T15:19:16.406327,4.0,7.0,9.0,7.0,7.0,6.0,6.0,4.0
2025-06-11T15:19:17.407339,6.0,7.0,11.0,5.0,5.0,6.0,6.0,3.0
2025-06-11T15:19:18.408886,4.0,7.0,9.0,6.0,7.0,5.0,6.0,3.0
2025-06-11T15:19:19.411824,5.0,8.0,11.0,7.0,11.0,8.0,16.9,4.0
2025-06-11T15:19:20.412417,7.0,8.0,10.0,8.0,11.0,10.0,19.0,7.0
2025-06-11T15:19:21.412947,4.0,8.0,10.0,8.0,9.0,9.0,12.0,5.0
2025-06-11T15:19:22.415101,6.0,8.0,10.0,6.0,10.0,8.0,10.0,6.0
2025-06-11T15:19:23.415710,5.0,8.0,11.0,7.0,9.0,9.0,11.0,5.0
2025-06-11T15:19:24.416522,5.0,7.0,9.0,8.0,10.0,8.0,10.0,5.0
2025-06-11T15:19:25.416971,6.0,8.0,11.0,7.0,9.0,8.0,11.0,5.0
2025-06-11T15:19:26.417562,6.0,9.0,10.0,7.0,9.0,9.0,10.0,6.0
2025-06-11T15:19:27.418243,4.0,8.0,10.0,8.0,10.0,8.0,11.0,4.0
2025-06-11T15:19:28.419355,6.0,8.0,10.0,7.0,9.0,8.0,11.0,5.0
2025-06-11T15:19:29.419895,5.0,8.0,10.0,6.0,10.0,10.0,10.0,6.0
2025-06-11T15:19:30.421718,6.0,9.0,11.0,7.0,10.0,8.0,11.0,5.0
2025-06-11T15:19:31.423202,5.0,9.0,11.0,8.0,10.0,11.0,11.0,5.0
2025-06-11T15:19:32.424326,5.0,9.0,10.0,8.0,10.0,9.0,11.0,6.0
2025-06-11T15:19:33.425712,5.0,8.0,12.0,8.0,10.0,10.0,10.0,5.0
2025-06-11T15:19:34.426269,6.0,9.0,10.0,8.0,10.0,9.0,11.0,4.0
2025-06-11T15:19:35.427013,5.0,8.0,10.0,7.0,10.0,10.0,10.0,6.0
2025-06-11T15:19:36.427497,5.0,8.0,10.0,7.0,10.0,10.0,10.0,5.0
2025-06-11T15:19:37.428103,5.0,9.0,11.0,8.0,10.0,10.0,12.0,6.0
2025-06-11T15:19:38.428762,5.0,8.0,11.0,7.0,11.0,9.0,10.0,4.0
