Map,Controller,Metric,Value
Map1,DWB,BatteryUsed_%,0.02122485637664795
Map1,DWB,BatteryUsed_%,0.021255195140838623
Map1,DWB,BatteryUsed_%,0.021204590797424427
Map1,DWB,BatteryUsed_%,0.02128887176513683
Map1,DWB,BatteryUsed_%,0.0213034749031068
Map1,DWB,BatteryUsed_%,0.021311402320861816
Map1,DWB,BatteryUsed_%,0.021125853061676025
Map1,DWB,BatteryUsed_%,0.02117788791656483
Map1,DWB,BatteryUsed_%,0.02138054370880116
Map1,DWB,BatteryUsed_%,0.02120959758758545
Map1,DWB,CPU_Usage,17.644383057090238
Map1,DWB,CPU_Usage,17.619397363465158
Map1,DWB,CPU_Usage,17.5242700729927
Map1,DWB,CPU_Usage,17.69764918625678
Map1,DWB,CPU_Usage,17.50144665461121
Map1,DWB,CPU_Usage,17.87087912087912
Map1,DWB,CPU_Usage,17.64332723948812
Map1,DWB,CPU_Usage,17.985090909090907
Map1,DWB,CPU_Usage,17.607664233576642
Map1,DWB,CPU_Usage,17.726190476190474
Map1,DWB,ExecutionTime_s,232.314
Map1,DWB,PathLength_m,59.1686776529552
Map1,DWB,ExecutionTime_s,230.769
Map1,DWB,PathLength_m,59.10288755818075
Map1,DWB,ExecutionTime_s,229.86
Map1,DWB,PathLength_m,59.05697316996125
Map1,DWB,ExecutionTime_s,230.064
Map1,DWB,PathLength_m,59.07608388674327
Map1,DWB,ExecutionTime_s,231.756
Map1,DWB,PathLength_m,59.08637285803261
Map1,DWB,ExecutionTime_s,229.869
Map1,DWB,PathLength_m,59.116037605687744
Map1,DWB,ExecutionTime_s,230.919
Map1,DWB,PathLength_m,59.02988995461098
Map1,DWB,ExecutionTime_s,230.775
Map1,DWB,PathLength_m,58.98574524870595
Map1,DWB,ExecutionTime_s,231.474
Map1,DWB,PathLength_m,59.0968399990888
Map1,DWB,ExecutionTime_s,229.548
Map1,DWB,PathLength_m,59.0818410445216
Map1,MPPI,BatteryUsed_%,0.021374523639678955
Map1,MPPI,BatteryUsed_%,0.02135753631591797
Map1,MPPI,BatteryUsed_%,0.021387338638305553
Map1,MPPI,BatteryUsed_%,0.02142965793609619
Map1,MPPI,BatteryUsed_%,0.02136361598968517
Map1,MPPI,BatteryUsed_%,0.021456658840179443
Map1,MPPI,BatteryUsed_%,0.02135246992111195
Map1,MPPI,BatteryUsed_%,0.021438956260681152
