[0.000000] (-) TimerEvent: {}
[0.000087] (-) JobUnselected: {'identifier': 'battery_logger'}
[0.000112] (-) JobUnselected: {'identifier': 'cmd_vel_tracker'}
[0.000128] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000141] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000153] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000164] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000175] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000185] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000195] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000206] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000217] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000227] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000244] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000305] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000316] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000325] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000334] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000343] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000352] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000365] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000375] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000384] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.000393] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000402] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000411] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000420] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000429] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000439] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000448] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000457] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000466] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000475] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000484] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000493] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000502] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000511] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000520] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000529] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000538] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000547] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000556] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000566] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000575] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.000584] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.000593] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.000602] (-) JobUnselected: {'identifier': 'tb4_nav_to_pose'}
[0.000611] (-) JobUnselected: {'identifier': 'turtlebot4_description'}
[0.000619] (-) JobUnselected: {'identifier': 'turtlebot4_msgs'}
[0.000629] (-) JobUnselected: {'identifier': 'turtlebot4_navigation'}
[0.000638] (-) JobUnselected: {'identifier': 'turtlebot4_node'}
[0.000647] (-) EventReactorShutdown: {}
