Map,Controller,Run_Status,File,Execution Time (s),Path Length (m),Local Planner Changes,Global Planner Changes
Map1,DWB,success,navigation_metrics_20250606_163150.csv,232.314,59.1686776529552,10340,503
Map1,DWB,success,navigation_metrics_20250606_150305.csv,230.769,59.10288755818075,10405,506
Map1,DWB,success,navigation_metrics_20250606_154124.csv,229.86,59.05697316996125,10002,487
Map1,DWB,success,navigation_metrics_20250606_155343.csv,230.064,59.07608388674327,10279,500
Map1,DWB,success,navigation_metrics_20250606_161243.csv,231.756,59.08637285803261,10370,504
Map1,DWB,success,navigation_metrics_20250606_162214.csv,229.869,59.116037605687744,10343,503
Map1,DWB,success,navigation_metrics_20250606_151242.csv,230.919,59.02988995461098,10332,502
Map1,DWB,success,navigation_metrics_20250606_152214.csv,230.775,58.98574524870595,10288,500
Map1,DWB,success,navigation_metrics_20250606_160311.csv,231.474,59.0968399990888,10337,502
Map1,DWB,success,navigation_metrics_20250606_153145.csv,229.548,59.0818410445216,10357,504
Map1,MPPI,success,navigation_metrics_20250610_171258.csv,232.173,60.175262881603416,10463,508
Map1,MPPI,success,navigation_metrics_20250610_155012.csv,232.239,60.19937342980315,10273,499
Map1,MPPI,success,navigation_metrics_20250610_160208.csv,232.233,60.1876487834709,11072,538
Map1,MPPI,success,navigation_metrics_20250610_161218.csv,232.209,60.1864939535891,11161,541
Map1,MPPI,success,navigation_metrics_20250610_164227.csv,232.164,60.17011928738538,10653,518
Map1,MPPI,success,navigation_metrics_20250610_165306.csv,232.404,60.24523807096035,10420,507
Map1,MPPI,success,navigation_metrics_20250610_163244.csv,232.617,60.29186266544794,10505,507
Map1,MPPI,success,navigation_metrics_20250610_170256.csv,232.068,60.1486701212897,10820,526
Map1,MPPI,success,navigation_metrics_20250610_154038.csv,232.533,60.26597873496269,10335,502
Map1,MPPI,success,navigation_metrics_20250610_162234.csv,232.119,60.17928128867021,11151,542
Map1,RPP,success,navigation_metrics_20250611_144713.csv,232.371,60.15450959237136,10348,503
Map1,RPP,success,navigation_metrics_20250611_151912.csv,232.59,60.22780032169823,10330,502
Map1,RPP,success,navigation_metrics_20250611_140658.csv,232.422,60.189152537068935,10290,500
Map1,RPP,success,navigation_metrics_20250611_142806.csv,232.344,60.17650575183013,10461,509
Map1,RPP,success,navigation_metrics_20250611_145928.csv,232.368,60.18819066596261,11293,546
Map1,RPP,success,navigation_metrics_20250611_150947.csv,232.362,60.18188142740649,10133,493
