timestamp,planner_server,map_server,amcl,controller_server,smoother_server,behavior_server,bt_navigator,velocity_smoother
2025-07-06T23:58:12.456567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-06T23:58:13.457149,5.0,5.0,3.0,11.0,6.0,5.0,7.0,5.0
2025-07-06T23:58:14.460909,7.0,7.0,8.0,7.9,7.9,9.9,9.9,7.9
2025-07-06T23:58:15.475795,11.8,7.9,7.9,9.9,8.9,8.9,9.0,8.0
2025-07-06T23:58:16.480768,8.0,5.0,5.0,8.9,7.0,6.0,5.0,5.0
2025-07-06T23:58:17.489003,7.9,6.9,5.9,6.9,6.9,8.8,8.8,6.9
2025-07-06T23:58:18.511882,10.8,4.9,5.9,8.9,5.9,6.9,6.9,4.9
2025-07-06T23:58:19.520117,6.0,5.0,3.0,8.9,6.0,6.0,5.0,4.0
2025-07-06T23:58:20.524840,8.0,6.0,6.0,7.0,5.0,6.0,9.0,6.0
2025-07-06T23:58:21.527700,6.0,4.0,5.0,8.0,6.0,7.0,7.0,4.0
2025-07-06T23:58:22.529222,5.0,2.0,1.0,7.0,4.0,3.0,5.0,2.0
2025-07-06T23:58:23.529961,5.0,2.0,3.0,8.0,5.0,5.0,5.0,2.0
2025-07-06T23:58:24.530385,4.0,3.0,2.0,7.0,5.0,4.0,6.0,3.0
2025-07-06T23:58:25.530836,5.0,2.0,2.0,8.0,5.0,4.0,4.0,2.0
2025-07-06T23:58:26.531973,6.0,2.0,3.0,8.0,4.0,5.0,6.0,3.0
